id,exposed,covariate,outcome
115,0,0.034016,0
116,0,0.126055,0
117,1,-1.320925,1
118,0,-0.424865,0
119,0,0.757248,0
120,0,1.629533,0
121,0,-0.538047,0
122,1,-0.02931,0
123,1,0.229954,1
124,0,-0.465473,0
125,1,0.169129,0
126,0,0.086672,0
127,0,0.691962,1
128,0,-1.02152,0
129,0,1.019295,0
130,0,-0.748126,0
131,0,0.513677,0
132,1,-0.279342,1
133,1,0.155386,0
134,1,-1.612788,0
135,0,-1.97575,0
136,0,0.120591,1
137,0,-0.080954,0
138,0,0.465301,1
139,0,-0.509214,0
140,0,0.29917,0
141,0,-0.363962,0
142,1,-1.273851,0
143,0,-0.567924,0
144,1,0.798842,0
145,0,1.15098,0
146,0,1.819363,1
147,1,1.091844,1
148,1,-1.040138,0
149,1,-2.089591,0
150,0,-0.238567,0
151,0,0.679014,0
152,0,-1.368941,0
153,0,1.5311,0
154,0,-0.324902,0
155,0,-0.208922,0
156,1,-0.822153,0
157,0,-1.554337,0
158,1,-0.218732,0
159,0,-0.405076,0
160,0,0.410709,0
161,0,0.119103,0
162,1,0.421911,0
163,0,-0.618596,0
164,0,-1.69526,1
165,1,0.410258,0
166,1,-0.043066,0
167,0,0.246755,0
168,1,-0.624748,0
169,0,1.140979,0
170,0,1.519433,0
171,0,-1.101773,0
172,0,0.224419,0
173,0,0.831346,1
174,1,-0.655695,0
175,0,1.44065,0
176,0,1.42243,0
177,1,1.219291,0
178,0,-1.533778,0
179,1,0.42986,0
180,1,-2.002334,0
181,0,0.366468,0
182,1,0.154875,0
183,0,0.693487,0
184,1,0.310643,1
185,1,-0.249173,0
186,1,-1.021354,0
187,0,0.369233,0
188,0,-1.969,0
189,0,0.110242,0
190,0,-0.91156,0
191,1,1.27367,0
192,0,-1.614921,0
193,0,0.782741,0
194,1,-0.357599,1
195,1,-1.182483,0
196,0,0.545256,0
197,0,-0.503304,0
198,1,0.73638,0
199,0,-1.41659,0
200,0,-0.326127,0
201,1,-3.155666,0
202,1,1.046497,1
203,1,0.307079,0
204,0,0.130092,0
205,0,-0.248968,1
206,1,0.421072,1
207,0,-0.574747,1
208,0,-1.558971,0
209,1,-0.320252,0
210,1,0.769942,0
211,0,0.617677,0
212,1,-0.08206,0
213,0,-0.567147,0
214,0,-0.388946,0
215,0,1.092444,0
216,1,-0.448878,0
217,0,-1.126173,1
218,1,-1.637549,0
219,1,-0.026984,0
220,0,-0.040289,0
221,0,-0.33993,0
222,0,-1.618981,0
223,1,0.622654,0
224,0,-0.370805,0
225,0,1.800641,0
226,0,-0.190859,0
227,1,-0.09647,0
228,0,-1.73781,1
229,1,-0.296587,1
230,0,0.662908,1
231,0,2.034142,0
232,1,2.651185,0
233,0,-1.558621,0
234,0,-0.321013,0
235,0,0.034436,0
236,0,0.555345,0
237,1,0.354015,0
238,1,0.492031,0
239,1,-0.712755,0
240,1,-0.528207,0
241,0,-0.361561,0
242,1,0.278588,0
243,0,-0.507232,0
244,1,-0.228427,0
245,0,-0.143147,0
246,1,0.383584,0
247,0,-0.272309,0
248,0,-1.192803,0
249,1,2.516705,0
250,0,3.230704,1
251,1,-0.552669,1
252,0,0.89181,0
253,1,1.653764,0
254,0,-0.211074,0
255,0,-2.125289,0
256,0,-0.653135,0
257,0,-0.340087,0
258,0,0.324353,0
259,1,0.719637,0
260,0,0.368723,1
261,0,-1.500294,0
262,0,-0.370418,0
263,1,-0.869689,0
264,0,1.406073,0
265,1,0.347004,0
266,0,-1.068743,0
267,0,-1.084877,0
268,0,1.060917,0
269,0,-0.221802,0
270,1,-1.954267,0
271,0,0.6888,0
272,0,1.173764,0
273,0,0.424177,0
274,1,0.806938,1
275,1,-0.441094,0
276,0,-0.557069,0
277,1,-0.800575,0
278,0,0.826058,0
279,1,1.303819,1
280,0,0.474122,0
281,0,-0.584258,0
282,0,-1.652884,0
283,0,-0.169349,0
284,1,-0.403762,0
285,1,0.790395,0
286,0,1.411509,1
287,1,1.062554,0
288,1,-0.825768,0
289,1,0.667631,0
290,1,-0.401099,0
291,1,0.988503,0
292,1,-2.200939,0
293,1,0.561813,0
294,0,-0.999891,0
295,1,-0.201521,0
296,1,-0.867517,0
297,1,-0.540851,0
298,1,0.616406,0
299,0,0.062668,0
300,1,-0.765356,0
301,1,-0.431336,0
302,0,1.596447,0
303,1,-0.177642,0
304,0,0.185901,0
305,0,-0.485801,0
306,1,-0.194858,0
307,1,-0.109575,0
308,1,0.75728,1
309,0,2.095799,0
310,0,0.748322,0
311,1,0.710794,0
312,0,0.857833,0
313,1,1.379436,0
314,1,1.605841,0
315,1,1.650076,0
316,0,1.046626,0
317,0,0.317757,0
318,1,-0.264408,0
319,0,0.699748,0
320,1,-0.010962,0
321,0,-0.508989,1
322,0,1.887279,0
323,0,-0.207027,0
324,0,-1.630222,0
325,1,1.642588,1
326,1,1.751913,0
327,0,-0.954958,0
328,0,-1.349352,0
329,0,-0.032324,1
330,0,-2.040696,0
331,1,-0.251501,0
332,0,0.522636,0
333,0,-0.536545,0
334,1,-1.492615,0
335,1,0.019331,0
336,0,0.4113,1
337,1,1.051481,0
338,0,0.075495,0
339,0,0.776297,0
340,0,-0.36598,0
341,1,-2.588092,0
342,0,1.532486,0
343,0,0.336264,0
344,0,-1.119208,0
345,0,-2.266744,0
346,1,-0.063067,1
347,0,0.878954,0
348,0,1.314877,1
349,0,-1.075503,0
350,1,-0.026555,0
351,0,-0.029411,0
352,1,-1.388061,0
353,0,-1.360499,0
354,1,-1.046475,0
355,0,-0.061003,0
356,1,-1.531846,0
357,1,1.246038,0
358,0,0.16322,0
359,0,0.685621,0
360,0,-0.474366,0
361,0,-0.610769,0
362,0,-1.236276,0
363,1,0.550548,1
364,0,0.833999,0
365,0,-0.72181,1
366,0,0.206187,0
367,1,-0.993295,0
368,1,-0.1293,0
369,0,0.020107,1
370,0,0.870338,0
371,0,0.828194,0
372,0,-0.418716,0
373,0,-0.392817,0
374,0,-0.517613,0
375,1,1.544598,0
376,0,0.457496,0
377,1,1.611598,0
378,1,-1.898201,0
379,0,0.102486,0
380,0,1.29464,0
381,0,-0.271154,0
382,1,0.412194,0
383,0,0.361597,0
384,0,2.603273,0
385,0,-1.530402,0
386,1,-0.68557,1
387,0,0.687522,0
388,0,-0.038288,0
389,0,-0.586558,0
390,1,-1.943311,0
391,0,0.433624,1
392,1,-0.080492,0
393,1,0.065643,0
394,0,-2.273198,0
395,1,0.461748,0
396,0,-0.135772,0
397,1,0.11693,0
398,0,-0.469783,0
399,0,-0.804148,0
400,0,0.301192,0
401,0,-0.607076,0
402,1,0.418016,1
403,1,-0.255694,0
404,1,0.664022,0
405,0,-0.219002,0
406,1,0.26323,0
407,1,-1.533418,0
408,0,-0.957537,0
409,0,-1.337357,0
410,1,-0.034748,0
411,0,1.099488,0
412,0,-0.225178,0
413,1,0.671202,0
414,1,0.963709,0
415,1,1.181689,0
416,0,-0.996622,0
417,1,0.117236,0
418,0,-1.29259,0
419,1,-0.571097,0
420,1,-0.138659,0
421,0,0.23313,0
422,1,-0.960279,0
423,0,-1.784566,0
424,0,0.312561,0
425,0,1.209451,0
426,0,0.148775,0
427,0,1.30304,0
428,0,0.112341,0
429,1,0.121088,0
430,1,0.414588,0
431,1,-0.187537,0
432,0,1.257877,1
433,0,-2.150671,0
434,1,-0.786867,0
435,0,-0.391635,0
436,0,0.958755,1
437,0,0.509019,0
438,1,-2.32361,0
439,0,-0.869205,0
440,1,-1.086407,0
441,1,-0.336293,1
442,1,-0.818107,0
443,0,-0.310561,0
444,0,1.608941,0
445,1,1.126745,0
446,0,0.797814,0
447,1,-0.530556,0
448,1,-0.763529,0
449,0,1.526895,0
450,0,-0.850146,0
451,1,0.30594,0
452,0,2.059408,0
453,0,1.149724,0
454,1,-1.3745,0
455,0,0.609473,1
456,0,-0.920328,0
457,1,0.320947,0
458,0,0.532058,0
459,0,-1.448374,1
460,1,-0.30219,0
461,0,-0.541103,0
462,0,-0.498404,0
463,0,0.161018,0
464,1,1.248813,0
465,0,0.571689,0
466,1,-0.262919,0
467,1,-0.59485,0
468,1,-0.378886,0
469,1,-1.35528,0
470,1,-0.805571,0
471,1,-0.600405,0
472,0,-0.232454,0
473,0,-0.232124,0
474,1,0.190006,0
475,0,-0.956611,1
476,0,0.640503,0
477,0,-0.55314,0
478,0,-0.114082,1
479,1,-0.135838,0
480,0,1.264476,0
481,1,-0.580208,0
482,0,1.051618,1
483,0,-0.414702,0
484,0,-0.008258,0
485,1,-1.321849,1
486,0,0.047024,1
487,0,-0.325328,0
488,0,-1.807239,0
489,1,1.194221,0
490,1,-3.388999,0
491,1,-0.443036,0
492,0,1.503929,0
493,1,-1.263275,0
494,0,1.267074,0
495,1,0.664276,0
496,0,-1.521111,0
497,1,-0.750759,0
498,1,-0.283528,0
499,0,0.885997,0
500,1,-1.164734,1
501,1,0.144431,0
502,1,-1.439779,0
503,0,1.098049,0
504,0,0.302394,0
505,0,0.475318,0
506,1,0.301771,0
507,0,2.074528,0
508,0,1.546422,0
509,0,-1.319428,0
510,0,1.217996,0
511,1,-1.433424,0
512,1,3.672214,0
513,0,-0.020245,0
514,1,-0.185002,0
515,0,1.296767,0
516,1,-1.163802,0
517,1,0.204642,0
518,0,-0.70494,0
519,1,-0.401738,0
520,0,1.302676,0
521,0,0.411605,0
522,0,-0.390914,0
523,0,-0.960187,0
524,0,-0.73384,1
525,1,0.78586,0
526,1,1.113454,0
527,0,-0.555352,0
528,1,-0.958289,0
529,0,-0.446934,0
530,0,-0.51191,0
531,0,-1.774548,0
532,0,0.085816,0
533,1,-1.079121,0
534,1,-0.791224,0
535,0,0.927536,0
536,0,1.247645,0
537,1,0.165532,0
538,0,-0.000414,0
539,0,0.649734,0
540,0,-1.121514,0
541,1,-0.398885,0
542,0,-0.653781,0
543,0,-1.085331,0
544,1,-0.809056,0
545,0,-1.743084,0
546,1,-0.461104,0
547,0,0.734019,0
548,1,0.709382,0
549,1,0.540162,1
550,1,1.132866,0
551,1,1.539032,0
552,0,0.678397,0
553,0,0.116107,0
554,1,1.45227,1
555,0,-0.417756,1
556,1,-0.452178,0
557,0,1.712361,0
558,1,0.875019,0
559,1,0.760367,1
560,0,-0.811096,0
561,0,0.722033,0
562,0,0.891505,0
563,0,-0.214581,0
564,0,-0.752413,0
565,0,1.434136,0
566,0,-0.969446,1
567,0,-0.325472,0
568,0,1.628479,0
569,1,1.838123,0
570,1,1.673966,0
571,1,-1.320982,0
572,1,-0.500082,0
573,0,-0.075669,0
574,1,-1.159242,0
575,0,0.667803,1
576,0,0.152087,0
577,0,0.037649,0
578,0,-0.751253,1
579,0,0.124196,0
580,0,0.287684,0
581,0,-0.142789,0
582,0,-0.746846,0
583,0,-0.032875,1
584,1,-0.142839,1
585,0,0.076783,0
586,0,-0.264475,0
587,0,1.286981,0
588,1,-1.119566,0
589,0,1.239333,1
590,1,0.392454,1
591,1,-0.76674,0
592,0,0.063616,0
593,0,-1.19752,0
594,1,0.310485,0
595,0,1.393482,0
596,0,-0.361693,0
597,0,1.482578,0
598,1,1.56459,1
599,1,0.217212,0
600,0,-0.191926,0
601,1,-1.493217,0
602,1,-2.41391,0
603,0,-0.038025,0
604,0,-0.166853,0
605,0,0.247461,0
606,1,-0.818224,0
607,1,0.992251,1
608,1,1.156931,1
609,1,2.323997,1
610,1,-0.612606,0
611,0,-1.676287,0
612,1,-0.214861,0
613,1,-0.286035,0
614,1,-0.440577,0
615,1,2.734215,0
616,1,-0.923303,1
617,1,-0.383185,0
618,1,0.931349,0
619,1,0.755659,0
620,0,-1.134431,0
621,1,-1.009928,0
622,0,1.405315,0
623,0,-1.312087,0
624,0,0.70877,0
625,0,-0.171174,0
626,0,0.221854,0
627,0,-2.508556,0
628,0,-1.02136,0
629,0,-0.399404,0
630,1,-0.298676,0
631,1,-0.669297,0
632,0,-0.215925,0
633,0,0.758866,0
634,0,-0.672588,0
635,0,0.251856,1
636,0,1.19736,0
637,0,1.463799,0
638,0,1.1293,0
639,0,0.695876,0
640,1,-0.347652,0
641,1,0.083958,0
642,0,0.303283,0
643,0,-0.978601,0
644,1,0.485877,0
645,1,-1.903284,0
646,0,-0.48866,1
647,1,0.03749,1
648,1,0.819416,0
649,1,-0.526717,0
650,1,-0.046748,0
651,1,-1.609006,0
652,1,0.883741,0
653,0,-0.939201,0
654,0,0.173204,0
655,0,-0.870447,0
656,0,1.5589,0
657,1,-1.262263,0
658,1,-1.492733,0
659,1,-0.387649,0
660,1,-0.541535,0
661,1,-0.530544,1
662,0,-1.135068,0
663,1,0.323669,0
664,0,0.766444,0
665,0,0.012009,1
666,0,1.414214,0
667,0,0.45529,0
668,0,-2.153556,0
669,0,-0.4424,0
670,0,-0.148711,1
671,0,-0.868821,0
672,0,-0.164905,0
673,0,1.318883,0
674,0,2.222928,0
675,1,-1.290706,0
676,1,0.108061,0
677,0,-1.199668,0
678,1,-0.5315,0
679,0,-0.436219,0
680,1,0.195462,0
681,1,-0.77696,0
682,0,-0.589712,0
683,0,-1.021502,0
684,0,-0.105702,0
685,0,1.274211,1
686,1,-1.004589,0
687,1,0.511282,0
688,1,-0.293731,1
689,0,-1.21328,0
690,0,-0.595067,0
691,0,-1.168106,0
692,0,1.211832,0
693,0,-0.37354,0
694,0,-0.057378,0
695,1,-0.850436,0
696,0,0.275504,0
697,1,-0.166912,0
698,0,0.847092,0
699,0,-0.145157,0
700,0,-1.472531,0
701,1,-0.068905,0
702,1,1.796708,0
703,1,-0.435461,1
704,0,-1.250826,0
705,0,0.62407,0
706,0,0.228018,0
707,1,-1.106419,0
708,0,0.030063,0
709,0,1.233593,0
710,1,1.540511,0
711,0,-0.708988,0
712,1,-0.269105,0
713,0,0.951865,0
714,0,2.11599,0
715,0,1.201771,0
716,0,-0.011528,0
717,1,-1.381794,0
718,0,-1.282668,0
719,1,-0.27487,0
720,0,-0.101081,0
721,1,-0.582804,0
722,0,0.436993,0
723,0,0.483328,0
724,1,-1.218097,0
725,1,0.036561,1
726,0,-0.425824,0
727,0,-1.373016,1
728,1,0.947477,0
729,1,0.902293,0
730,0,-0.380905,0
731,0,-0.408943,0
732,1,1.936121,0
733,0,-1.560096,0
734,0,1.055211,0
735,0,-1.19121,0
736,1,1.450423,0
737,1,0.12649,0
738,0,1.724194,0
739,0,0.322187,0
740,1,-0.923826,0
741,0,-1.093969,1
742,0,0.217227,0
743,0,0.770468,0
744,1,-0.11499,0
745,0,-0.046674,0
746,1,-0.22924,0
747,1,-1.158595,0
748,1,0.188571,0
749,0,0.171963,0
750,0,-1.376857,0
751,1,0.987017,0
752,0,0.465628,0
753,1,-0.763315,0
754,1,-1.052167,0
755,0,-1.018942,0
756,0,1.126327,1
757,1,-1.487081,1
758,0,1.803598,0
759,1,0.409821,0
760,0,1.425323,0
761,1,0.605542,0
762,0,-1.659686,0
763,0,1.18031,0
764,1,-0.13394,0
765,0,0.697576,0
766,0,-0.293033,0
767,0,-0.899896,0
768,0,0.873338,0
769,0,1.665798,0
770,0,0.529242,0
771,1,-0.555629,0
772,0,0.60743,0
773,1,-0.416734,0
774,0,-0.390408,0
775,0,-2.953207,0
776,0,-0.261922,0
777,1,-0.972359,0
778,0,1.490839,0
779,0,-0.74181,0
780,1,-1.24072,0
781,1,-1.609071,0
782,0,1.114971,0
783,1,-0.1976,0
784,1,-0.104771,1
785,0,-0.261822,0
786,0,0.446882,0
787,0,0.8034,0
788,1,0.920724,0
789,0,-2.35438,0
790,0,2.969861,0
791,0,0.385972,0
792,1,0.133627,0
793,1,0.637637,0
794,0,0.956517,0
795,0,-0.126365,1
796,1,-0.046794,0
797,1,-1.364423,0
798,0,-0.361044,0
799,1,1.703884,0
800,0,0.016055,0
801,1,-0.241697,1
802,1,1.01432,0
803,1,-0.677451,0
804,0,-0.949944,0
805,0,-0.477956,0
806,0,0.772152,0
807,0,-1.217997,0
808,0,-0.465387,0
809,1,0.859019,0
810,0,-0.07061,0
811,0,-1.504781,0
812,1,-0.470675,0
813,1,-0.213105,0
814,0,-0.089815,0
815,1,0.890922,1
816,1,-0.066977,0
817,0,-0.859429,0
818,0,-0.126971,0
819,0,2.14043,1
820,1,-1.88254,0
821,1,-0.264561,0
822,0,-0.518285,0
823,0,-1.219318,0
824,1,1.367299,0
825,0,-0.294076,0
826,1,0.069972,0
827,1,0.415821,1
828,0,0.226807,0
829,1,-1.263282,0
830,1,0.355898,0
831,0,0.177406,0
832,0,-0.353694,0
833,0,-0.892139,0
834,1,-0.382526,0
835,1,0.055541,0
836,0,2.148432,0
837,0,0.797356,0
838,1,-0.240563,0
839,0,0.75919,0
840,1,2.187917,0
841,0,-0.756622,1
842,0,-0.986203,0
843,1,0.930741,0
844,0,0.942171,0
845,0,1.370557,0
846,1,0.262187,1
847,1,-1.523051,0
848,0,0.95913,1
849,0,2.100017,0
850,0,-0.600855,1
851,0,-0.158988,0
852,1,0.195685,0
853,0,-2.316323,0
854,1,-0.692141,0
855,1,-0.00175,0
856,0,0.60683,0
857,0,-0.690637,0
858,0,1.123865,0
859,1,0.122803,0
860,0,-1.081794,0
861,1,1.935171,0
862,0,1.228785,1
863,1,-1.268187,0
864,0,0.413594,0
865,0,0.068593,0
866,0,-0.79914,1
867,0,-0.325994,0
868,0,-0.07835,1
869,0,-2.209974,0
870,1,1.499075,0
871,0,-0.371551,0
872,0,0.299929,1
873,0,-0.230885,0
874,1,-1.283486,0
875,0,0.057986,0
876,1,0.076956,0
877,1,0.014543,0
878,0,0.134107,0
879,0,0.008678,0
880,0,-0.58522,0
881,0,0.914927,0
882,0,0.737796,0
883,1,0.523906,0
884,1,0.743882,0
885,1,-1.698314,0
886,0,-0.63828,0
887,0,-0.69186,0
888,1,2.389676,0
889,0,0.443609,0
890,1,-0.8068,0
891,0,1.146895,0
892,0,0.23842,0
893,1,-1.101424,0
894,1,-0.264158,0
895,0,-0.993827,0
896,0,0.449962,0
897,1,-0.219403,0
898,0,-0.019329,0
899,0,0.429266,0
900,1,-0.063183,0
901,0,0.293651,0
902,1,-0.804105,0
903,0,0.597258,0
904,1,-0.20172,0
905,1,0.688788,0
906,1,0.15456,0
907,0,-1.673506,0
908,1,0.330395,0
909,0,-0.913424,0
910,1,-1.451831,0
911,1,2.295608,0
912,1,-1.004974,0
913,0,-1.092368,0
914,0,0.416124,0
915,0,0.749391,0
916,0,0.66413,0
917,1,-2.039261,1
918,1,1.781301,1
919,0,-1.016592,0
920,1,-0.066975,0
921,0,-0.298975,0
922,0,0.673138,0
923,0,-2.202315,0
924,0,-1.590419,0
925,0,-1.510977,0
926,1,-1.198271,0
927,1,-1.348597,1
928,0,1.423287,0
929,1,-2.199051,0
930,0,0.340474,0
931,1,1.232744,0
932,0,-0.624067,0
933,1,1.450278,0
934,1,-0.095587,0
935,0,-1.988512,0
936,0,-0.286588,0
937,1,-1.572835,0
938,0,1.934731,0
939,1,1.319453,1
940,0,0.794745,0
941,0,-0.386533,0
942,1,0.70697,0
943,0,-0.778951,0
944,0,1.138467,0
945,0,0.616441,0
946,0,0.736118,0
947,0,1.560535,0
948,0,1.02636,0
949,1,1.64149,1
950,1,1.406624,0
951,0,-0.184908,0
952,0,0.875244,0
953,0,-2.316103,0
954,1,-0.291523,0
955,1,0.209349,0
956,0,-1.491982,0
957,0,-0.67962,0
958,0,-0.296759,0
959,0,0.551338,1
960,0,-0.61805,1
961,0,-1.065461,0
962,0,0.160719,0
963,1,0.706994,0
964,1,0.196323,0
965,0,0.884925,0
966,0,1.388989,0
967,0,-0.512279,0
968,1,-0.712758,0
969,0,0.184998,0
970,0,-0.420054,0
971,0,-0.43576,1
972,1,0.121876,0
973,0,-0.187153,0
974,1,1.198161,0
975,0,0.316004,0
976,1,-1.425127,0
977,0,0.317742,0
978,1,0.49278,0
979,1,-0.690795,1
980,0,1.397089,0
981,0,-0.228848,0
982,1,0.727291,1
983,1,-0.475387,0
984,0,-0.973056,0
985,1,-0.967533,0
986,0,-0.691173,0
987,0,-0.157182,0
988,1,0.879163,0
989,1,-1.431044,0
990,1,-1.210299,0
991,0,-0.614822,0
992,0,-0.475487,0
993,0,0.651089,0
994,0,0.677606,0
995,1,-0.990918,0
996,1,0.33653,0
997,1,-0.759521,0
998,0,-0.827635,0
999,1,-0.755697,0
1000,1,-0.374939,1
1001,0,1.000089,0
1002,1,0.009552,0
1003,0,-3.216038,0
1004,0,-0.619089,1
1005,0,-0.256017,0
1006,0,-1.772536,0
1007,1,0.848969,0
1008,1,0.02421,0
1009,1,-1.322987,0
1010,0,1.083833,0
1011,0,1.821119,0
1012,0,-0.510202,0
1013,0,1.02524,0
1014,0,1.336126,0
1015,0,0.029586,0
1016,1,1.432177,0
1017,0,-0.256409,0
1018,0,-0.037942,0
1019,0,-0.861084,1
1020,1,-1.051395,0
1021,1,-1.43593,0
1022,0,-0.256533,0
1023,0,1.680928,0
1024,0,-1.015716,0
1025,0,-0.345121,0
1026,0,-1.560805,0
1027,0,1.942992,0
1028,1,-0.557574,0
1029,0,-0.446096,1
1030,1,-0.334021,0
1031,0,0.447226,0
1032,0,1.543913,0
1033,1,-0.163142,1
1034,1,-0.158431,0
1035,1,-0.616641,0
1036,1,0.019637,0
1037,0,0.731466,0
1038,1,1.322728,0
1039,1,-0.889455,1
1040,1,1.854761,0
1041,0,0.088716,0
1042,0,-1.060373,0
1043,1,0.247436,0
1044,0,-0.575782,0
1045,0,-0.469724,0
1046,0,-0.522255,0
1047,0,1.936435,0
1048,0,0.017956,1
1049,1,-0.503075,0
1050,0,-0.559432,0
1051,1,-1.288666,0
1052,0,0.393821,0
1053,0,-0.204052,0
1054,0,0.585732,0
1055,0,0.158688,0
1056,0,-0.945049,0
1057,0,1.132695,0
1058,1,-0.415352,0
1059,0,1.318385,0
1060,1,-0.88705,0
1061,0,-0.679319,0
1062,0,0.49813,0
1063,0,0.909032,0
1064,0,-1.11724,0
1065,0,1.069722,0
1066,1,0.116872,1
1067,0,-0.661152,0
1068,0,0.039268,0
1069,0,-2.833435,0
1070,0,1.17272,0
1071,0,0.246794,0
1072,0,-0.261062,0
1073,1,0.09097,0
1074,1,0.098766,0
1075,1,-3.011739,0
1076,0,0.416376,0
1077,0,0.605399,1
1078,1,1.979556,0
1079,0,-0.23469,0
1080,0,-0.082365,1
1081,0,0.560599,0
1082,0,-0.831305,1
1083,0,-0.904733,0
1084,0,-1.803003,0
1085,1,3.223362,1
1086,1,-0.117333,1
1087,0,-0.375285,0
1088,1,1.271275,0
1089,1,0.631656,0
1090,0,-1.512522,0
1091,0,-0.612834,0
1092,0,-0.500822,0
1093,1,1.882366,0
1094,0,-0.082293,1
1095,1,0.538166,0
1096,0,0.266189,1
1097,0,1.271779,0
1098,0,0.532006,0
1099,1,1.543463,0
1100,1,-1.12223,0
1101,1,0.077758,0
1102,0,0.806303,0
1103,0,0.699809,0
1104,0,-0.395659,0
1105,1,-0.484641,1
1106,1,-0.571256,0
1107,0,-0.763841,0
1108,1,0.644511,0
1109,0,0.024592,0
1110,0,-0.305221,0
1111,0,-0.259519,0
1112,0,-0.162774,0
1113,0,-1.072194,0
1114,0,1.139644,0
1115,0,1.236434,0
1116,1,-0.585191,0
1117,1,-1.263044,0
1118,0,-2.404561,0
1119,0,-0.242751,0
1120,0,0.547126,0
1121,0,-1.085323,0
1122,1,-0.064544,1
1123,0,-0.095044,1
1124,0,-0.301823,0
1125,0,0.358662,0
1126,1,0.306359,0
1127,0,-0.26021,0
1128,1,-0.047585,0
1129,0,-1.856331,0
1130,0,-0.379196,0
1131,1,0.305174,0
1132,0,0.286942,0
1133,0,-0.262915,0
1134,1,-0.726926,0
1135,0,0.27441,0
1136,0,0.911814,0
1137,0,0.221701,0
1138,0,0.711859,0
1139,0,0.390045,0
1140,1,-0.084938,1
1141,0,0.551684,0
1142,1,-0.003241,0
1143,1,1.858953,0
1144,0,0.040416,0
1145,1,0.024121,0
1146,0,-0.22069,0
1147,0,0.210063,0
1148,0,-1.168309,0
1149,1,-1.954273,0
1150,0,-0.268215,0
1151,0,-0.060813,0
1152,0,-1.392283,0
1153,1,-0.831208,0
1154,0,1.790081,0
1155,1,0.703123,0
1156,1,-0.458752,0
1157,1,-0.437985,0
1158,0,1.112193,0
1159,0,-1.732625,0
1160,0,-0.071997,0
1161,0,2.005326,0
1162,1,2.883402,1
1163,1,0.302468,1
1164,1,-1.205798,0
1165,0,-0.659468,0
1166,0,1.910904,0
1167,0,0.601069,0
1168,1,0.330304,0
1169,1,-0.260486,0
1170,0,1.030634,0
1171,1,-0.570262,0
1172,0,1.719743,0
1173,0,1.005881,0
1174,0,-0.283758,0
1175,0,0.796844,0
1176,0,-0.653866,0
1177,1,0.818429,1
1178,0,0.513042,0
1179,0,-0.888518,0
1180,1,1.173092,0
1181,0,1.845232,0
1182,1,-0.31163,0
1183,0,-0.10611,1
1184,1,-0.234347,0
1185,1,-0.204143,0
1186,1,0.991322,0
1187,0,-1.255478,0
1188,1,0.621657,0
1189,1,1.144035,0
1190,0,1.872359,0
1191,1,0.882332,1
1192,1,-1.33515,0
1193,0,0.173878,1
1194,1,1.591727,0
1195,1,0.430108,0
