set_id,case,exposed,covariate
75,1,0,-0.910601
75,0,0,-1.292962
76,1,0,0.953464
76,0,1,0.249485
76,0,0,0.23384
77,1,0,0.721562
77,0,1,0.780303
77,0,1,-0.454992
78,0,0,0.089033
78,1,0,-0.002796
78,0,0,-0.299157
79,0,1,0.76445
79,0,0,0.30744
79,1,0,1.437129
80,1,1,1.032399
80,0,0,0.817348
80,0,1,-1.069113
81,0,0,-1.106343
81,0,0,-2.090265
81,1,1,-0.028282
82,0,0,-1.440362
82,0,1,0.919246
82,1,1,1.341958
83,0,0,0.011459
83,0,0,-1.567025
83,1,0,-0.263596
84,0,1,-0.454305
84,0,0,0.181564
84,1,0,1.5095
85,0,0,-1.574886
85,0,0,-0.807572
85,1,1,-0.888091
86,1,0,-0.864891
86,0,1,0.141066
86,0,1,0.861679
87,0,0,-0.296258
87,1,1,1.803205
87,0,1,-0.042612
88,1,0,-1.222254
88,0,0,-0.646415
88,0,0,-0.544308
89,0,0,0.44167
89,0,0,0.434306
89,1,1,0.371684
90,0,1,0.298029
90,0,0,-0.90598
90,1,1,1.76938
91,0,1,-0.105281
91,0,0,0.776329
91,1,0,2.297966
92,1,1,1.124839
92,0,0,0.091851
92,0,1,-0.851217
93,1,0,0.985231
93,0,0,-0.760614
93,0,0,-0.129837
94,0,0,0.559029
94,1,0,-0.394133
94,0,1,-0.091521
95,0,0,0.198547
95,1,1,2.751815
95,0,0,0.480887
96,1,0,-0.6707
96,0,0,1.158131
96,0,0,-0.679423
97,1,1,-0.45936
97,0,0,-1.094066
97,0,1,-1.081741
98,0,0,0.929504
98,1,1,0.307561
98,0,0,-1.205014
99,0,1,-0.406382
99,1,1,-0.047089
99,0,0,-1.514558
100,1,0,1.789123
100,0,0,0.235137
100,0,0,-0.415651
101,0,0,-1.188121
101,1,0,1.191338
101,0,0,-1.101976
102,0,0,1.695083
102,1,1,-0.879081
102,0,0,-0.672188
103,0,1,-0.148632
103,0,1,-0.37324
103,1,1,0.436153
104,0,0,0.793873
104,0,1,-0.354711
104,1,0,0.8979
105,0,1,-0.699872
105,1,1,-0.373744
105,0,0,-0.342288
106,0,0,-1.367889
106,1,1,0.111962
106,0,0,-0.858801
107,0,1,0.576371
107,0,0,0.505291
107,1,0,0.338154
108,1,1,-0.159263
108,0,0,-0.820396
108,0,1,-0.562399
109,0,1,0.376988
109,0,0,0.933592
109,1,1,1.499646
110,1,1,-0.286227
110,0,1,-1.347793
110,0,0,1.320901
111,0,1,-0.749477
111,0,0,-0.617298
111,1,1,1.167721
112,0,1,0.943267
112,0,0,0.990541
112,1,0,0.848614
113,0,1,1.4418
113,0,0,0.760944
113,1,0,0.33404
114,1,1,-0.798486
114,0,0,1.774226
114,0,0,0.367628
115,0,1,-1.210822
115,1,0,0.518074
115,0,1,1.754878
116,0,1,1.235674
116,0,1,0.318375
116,1,0,-0.104373
117,0,1,-0.877464
117,1,1,-0.951319
117,0,0,0.229321
118,1,0,0.540802
118,0,0,-0.450084
118,0,1,0.92861
119,0,0,-1.322583
119,1,1,-1.470365
119,0,1,-1.498101
120,0,0,0.084795
120,0,0,0.262447
120,1,1,1.25556
121,0,0,-0.20131
121,1,1,2.572071
121,0,0,-0.053137
122,1,0,-1.260763
122,0,0,0.528023
122,0,0,0.000788
123,0,0,1.211677
123,1,0,-0.051338
123,0,0,-1.621734
124,0,0,-0.848773
124,1,1,0.998276
124,0,1,-0.445041
125,0,0,1.396188
125,1,0,1.31218
125,0,0,-0.808445
126,1,0,1.582377
126,0,1,0.604301
126,0,0,0.33856
127,0,0,0.149261
127,0,1,-0.886733
127,1,0,0.456476
128,0,0,0.644412
128,0,1,0.487322
128,1,0,0.913515
129,0,0,-0.968448
129,0,0,-1.867674
129,1,0,0.060753
130,1,0,-0.187696
130,0,1,0.531952
130,0,0,0.149606
131,0,0,-2.665886
131,0,1,-0.134164
131,1,0,-1.176466
132,0,0,1.638238
132,0,0,-0.3404
132,1,1,-0.313891
133,0,0,-1.340508
133,0,1,0.556394
133,1,0,1.998794
134,0,1,-1.020025
134,1,0,0.195196
134,0,0,0.061597
135,0,0,-0.332763
135,1,0,-0.275156
135,0,0,0.979566
136,1,0,-1.248914
136,0,0,-2.563005
136,0,1,0.858287
137,1,0,0.147361
137,0,0,1.101472
137,0,1,-0.057691
138,1,0,-0.257097
138,0,0,-0.770188
138,0,1,0.601419
139,0,1,-0.17974
139,0,1,0.608907
139,1,0,-0.044731
140,0,0,0.879751
140,0,0,1.343633
140,1,1,-0.524802
141,0,1,-1.29057
141,1,1,-0.16346
141,0,0,-1.113282
142,1,0,1.185037
142,0,0,-0.529712
142,0,0,0.638804
143,0,0,-0.467115
143,0,0,0.134729
143,1,1,-0.905976
144,0,0,1.229673
144,0,1,1.352954
144,1,0,-0.272412
145,0,0,-1.284939
145,0,0,-0.188003
145,1,0,0.372612
146,1,0,1.208628
146,0,0,-1.551053
146,0,0,-0.156869
147,1,0,0.780284
147,0,0,0.292189
147,0,1,0.192392
148,0,0,0.351843
148,0,1,0.396022
148,1,1,-0.410294
149,0,0,0.703787
149,1,0,0.959097
149,0,1,1.479956
150,0,0,-0.841129
150,1,0,-0.528946
150,0,0,1.37735
151,0,1,-0.950225
151,1,0,0.101683
151,0,1,0.173728
152,1,1,2.313248
152,0,0,-0.553363
152,0,1,-0.766649
153,0,1,0.066689
153,1,0,0.298963
153,0,0,-0.832423
154,0,0,0.30167
154,0,1,0.555207
154,1,0,0.887462
155,1,0,0.119001
155,0,1,0.468493
155,0,0,0.336216
156,1,1,0.883499
156,0,0,-0.526097
156,0,0,-1.528525
157,0,0,1.672158
157,1,1,-1.637068
157,0,1,-0.412839
158,0,1,0.62654
158,1,0,-0.504387
158,0,0,-1.687317
159,0,0,0.287683
159,0,0,0.244566
159,1,0,-0.662929
160,1,0,-0.013848
160,0,0,-0.945097
160,0,0,0.206168
161,0,0,-0.377717
161,0,0,-0.359776
161,1,1,0.573428
162,1,0,0.081078
162,0,1,-1.810454
162,0,0,-0.646266
163,0,0,0.667182
163,1,1,-0.163684
163,0,0,0.744763
164,0,0,0.258079
164,1,1,1.738428
164,0,0,-0.214041
165,0,0,0.897205
165,0,0,-0.62373
165,1,1,-0.586604
166,1,1,0.773914
166,0,1,-0.963384
166,0,0,1.534967
167,0,0,-1.545596
167,0,0,-0.338685
167,1,0,0.302828
168,1,1,-1.283397
168,0,0,-0.393276
168,0,1,0.534617
169,0,0,-1.15888
169,1,0,-2.298055
169,0,1,-0.184299
170,0,0,-1.15492
170,0,0,-1.655268
170,1,0,1.097591
171,0,0,0.72221
171,1,0,-0.210726
171,0,0,0.059458
172,1,1,0.45863
172,0,0,-0.889078
172,0,0,-1.52907
173,0,0,-0.31769
173,0,1,-1.299664
173,1,1,-0.487837
174,0,0,-0.637733
174,0,1,-0.575274
174,1,1,-0.176552
175,0,1,-0.422581
175,0,0,-0.004778
175,1,1,2.744567
176,1,1,1.524924
176,0,0,0.487881
176,0,0,1.233948
177,1,1,2.773047
177,0,0,0.563704
177,0,0,1.353494
178,0,1,-0.911139
178,1,0,1.937147
178,0,0,0.489958
179,0,0,0.027192
179,1,0,0.394909
179,0,1,-1.167993
180,1,1,-0.303493
180,0,1,-2.001314
180,0,0,-0.714165
181,0,0,0.848798
181,1,0,0.213021
181,0,0,-0.055775
182,1,0,1.320784
182,0,0,1.154077
182,0,0,0.178576
183,0,0,0.189424
183,1,0,0.992426
183,0,0,-2.303828
184,0,0,1.457164
184,1,1,1.107714
184,0,1,0.743605
185,0,0,-0.774976
185,0,0,-0.407731
185,1,0,0.879203
186,1,1,-0.922581
186,0,0,-0.024089
186,0,0,-1.740122
187,0,1,1.020436
187,0,0,0.141285
187,1,0,1.081184
188,0,1,-0.635934
188,1,1,-0.02397
188,0,0,1.703979
189,0,0,2.152462
189,1,1,-1.378607
189,0,0,0.19876
190,1,1,-0.420511
190,0,1,1.818985
190,0,0,0.695255
191,0,0,-0.523678
191,1,1,0.468942
191,0,0,-0.860554
192,0,1,-1.619783
192,1,1,1.206691
192,0,1,-0.003201
193,0,1,-1.37776
193,0,0,-0.284134
193,1,0,0.671006
194,0,0,-1.387862
194,1,1,1.035726
194,0,1,1.447906
195,0,1,0.11418
195,0,1,-0.454082
195,1,0,-0.352782
196,0,1,-0.306057
196,1,0,0.122746
196,0,0,-1.912559
197,0,0,-0.159776
197,0,1,-0.254194
197,1,0,0.515333
198,0,0,0.99374
198,1,0,-0.521311
198,0,1,0.139186
199,0,1,-1.402499
199,1,0,-1.182934
199,0,0,-0.262994
200,0,0,-2.756469
200,1,1,0.689644
200,0,0,1.166378
201,1,0,1.089416
201,0,1,-0.296512
201,0,0,-0.939543
202,0,1,2.457181
202,1,1,1.629604
202,0,0,-1.131683
203,0,0,-0.9094
203,1,0,0.40907
203,0,1,1.416645
204,0,0,-0.38084
204,0,0,-0.90822
204,1,1,-0.659745
205,1,0,-1.028898
205,0,0,-0.557089
205,0,0,1.875939
206,1,1,0.404117
206,0,0,0.560734
206,0,0,0.283726
207,1,1,0.196003
207,0,1,0.04935
207,0,0,-1.132053
208,0,0,-0.731111
208,0,0,-0.171865
208,1,0,0.385966
209,1,1,0.076525
209,0,0,0.140714
209,0,0,-0.369494
210,0,0,1.654004
210,1,0,-0.122278
210,0,0,0.030588
211,0,0,-0.273236
211,1,0,-0.479555
211,0,0,-0.985547
212,1,0,0.590696
212,0,1,-1.759581
212,0,0,-1.272777
213,0,0,-0.048168
213,0,1,-0.010701
213,1,0,-0.922652
214,0,0,0.31252
214,0,0,0.28966
214,1,1,1.212248
215,1,1,-0.958607
215,0,0,-0.981865
215,0,0,-1.314235
216,0,0,0.710008
216,0,1,0.094898
216,1,0,0.360833
217,1,1,-1.176135
217,0,0,0.298067
217,0,0,-0.128435
218,1,0,0.489896
218,0,0,-1.491544
218,0,1,-0.566356
219,1,0,-0.986301
219,0,0,0.398776
219,0,0,0.026811
220,0,1,0.697196
220,0,0,-1.392641
220,1,0,-1.519395
221,1,1,-0.69242
221,0,0,-0.292533
221,0,0,-0.120436
222,0,1,0.369725
222,0,0,-0.076422
222,1,0,1.964194
223,0,0,-0.074049
223,0,0,0.931167
223,1,0,1.694883
224,0,0,-1.228847
224,0,0,-0.168437
224,1,0,-0.498502
225,1,1,0.488518
225,0,0,1.009583
225,0,0,0.266926
226,0,0,1.452585
226,1,1,-0.041948
226,0,0,0.803843
227,0,0,0.104657
227,1,0,1.363272
227,0,1,-1.152411
228,1,1,1.128053
228,0,1,-0.191345
228,0,0,-0.457807
229,0,0,0.873017
229,1,1,0.085579
229,0,0,1.189271
230,0,1,-1.516278
230,1,0,1.307544
230,0,1,0.66203
231,1,1,0.805898
231,0,0,1.10639
231,0,1,-0.108387
232,0,0,0.698919
232,0,1,-0.676055
232,1,0,1.166312
233,0,0,-0.468299
233,0,0,-0.034262
233,1,0,0.926204
234,1,0,-1.548507
234,0,0,-1.157803
234,0,0,-2.140553
235,0,1,-0.513922
235,1,0,-1.634473
235,0,0,0.545769
236,0,0,-0.208062
236,0,0,-0.456989
236,1,1,-1.278568
237,0,1,0.190795
237,0,0,0.125142
237,1,0,0.636164
238,0,0,-1.942715
238,1,0,1.497697
238,0,0,-0.309079
239,0,0,-0.041242
239,1,0,-0.064455
239,0,0,-0.465592
240,0,0,-0.93233
240,0,0,-0.072655
240,1,1,1.042832
241,0,1,0.493548
241,1,1,0.986531
241,0,0,-0.202628
242,0,1,0.708952
242,0,1,0.958709
242,1,0,0.796196
243,1,1,-0.038921
243,0,1,-0.052343
243,0,1,0.229559
244,1,1,0.774551
244,0,0,0.070488
244,0,0,0.819963
245,0,1,-2.645544
245,0,0,-1.031379
245,1,0,-0.457928
246,0,0,1.926455
246,1,1,0.198557
246,0,0,-0.654587
247,0,0,1.424788
247,0,0,0.165708
247,1,1,1.356299
248,1,1,0.946439
248,0,0,-0.211475
248,0,0,1.495567
249,0,1,-0.69004
249,1,1,-0.235678
249,0,0,0.860266
250,0,0,-0.441419
250,1,1,0.688383
250,0,0,-1.348645
251,0,0,-1.254558
251,1,0,0.38571
251,0,1,-1.206406
252,0,0,-0.12716
252,0,0,-1.245863
252,1,0,2.497897
253,0,0,-0.191326
253,1,0,-0.089702
253,0,0,-1.022861
254,0,1,-0.246337
254,1,0,-1.174275
254,0,0,0.540583
255,0,0,2.644408
255,0,0,0.868515
255,1,1,0.69996
256,1,0,1.12512
256,0,0,-1.600311
256,0,0,-0.262043
257,1,0,0.668005
257,0,1,-0.616827
257,0,0,-2.025667
258,1,1,2.299308
258,0,0,0.394864
258,0,0,0.618521
259,0,0,-1.237781
259,1,1,1.475497
259,0,0,-0.161814
260,0,0,-1.571302
260,0,0,0.261966
260,1,1,-1.190433
261,1,1,-0.154514
261,0,0,-0.506724
261,0,0,0.930112
262,0,1,0.099087
262,1,0,1.100093
262,0,0,-1.377781
263,0,0,-0.404494
263,1,0,0.003836
263,0,0,0.76921
264,0,1,0.960895
264,1,0,-0.096263
264,0,0,-0.056125
265,0,1,-0.097753
265,1,1,-0.318022
265,0,1,-0.496999
266,1,0,0.611576
266,0,0,-0.554335
266,0,0,0.016362
267,0,0,0.924422
267,0,0,0.000772
267,1,1,1.157904
268,0,0,-0.356473
268,0,0,-0.304589
268,1,0,-1.17324
269,1,0,-0.147309
269,0,0,-0.571625
269,0,0,1.266328
270,0,0,0.083644
270,1,0,1.38492
270,0,0,0.374002
271,0,1,0.836494
271,1,0,2.104315
271,0,0,-1.2458
272,1,1,-0.83957
272,0,0,0.534044
272,0,1,1.612303
273,0,0,-0.042199
273,0,0,0.002587
273,1,1,-0.320701
274,1,0,1.027935
274,0,0,0.114443
274,0,0,-0.571714
275,1,1,-1.039132
275,0,0,-1.010404
275,0,0,0.136576
276,0,0,1.18258
276,1,0,0.750862
276,0,1,-1.403429
277,0,0,0.733904
277,0,0,-0.809273
277,1,0,-0.248881
278,1,1,1.722587
278,0,0,-1.036698
278,0,0,0.436465
279,0,0,0.083689
279,0,0,-0.11737
279,1,1,1.592026
280,0,1,-1.171868
280,0,0,-0.50245
280,1,1,0.820202
281,0,1,0.024305
281,1,1,1.285238
281,0,0,-1.133827
282,0,1,-1.667088
282,1,1,-1.095933
282,0,0,0.365886
283,0,0,0.903135
283,1,1,-0.07422
283,0,0,0.584442
284,1,0,-0.879619
284,0,1,0.15757
284,0,0,0.93109
285,1,1,-1.217052
285,0,1,-0.578096
285,0,0,-1.00682
286,0,0,1.065176
286,0,0,-1.165732
286,1,0,-0.494147
287,0,1,-0.061736
287,0,0,-2.033643
287,1,1,1.176526
288,1,0,-0.94503
288,0,0,-1.074542
288,0,0,-0.308213
289,1,0,-0.005887
289,0,0,-0.384249
289,0,0,-1.422107
290,0,0,0.936211
290,1,0,0.928693
290,0,1,1.035231
291,0,0,-1.528137
291,1,0,1.287587
291,0,0,-0.100022
292,0,0,0.748704
292,1,0,0.354975
292,0,0,-0.685612
293,0,1,-0.684922
293,1,1,0.53107
293,0,0,0.866897
294,1,1,-0.207781
294,0,0,0.731391
294,0,1,0.114434
295,1,1,0.340157
295,0,0,1.035841
295,0,0,-0.564368
296,1,1,-0.349392
296,0,0,-0.415651
296,0,0,-0.8423
297,0,0,-0.685647
297,0,1,1.960491
297,1,1,1.078287
298,0,0,0.523955
298,1,1,-0.539362
298,0,0,0.065027
299,0,1,0.008181
299,0,0,-0.02312
299,1,0,1.248046
300,0,1,-0.374313
300,1,1,0.265997
300,0,0,-2.664248
301,0,0,0.113838
301,1,1,0.891489
301,0,1,0.033755
302,0,0,0.066024
302,1,1,0.274925
302,0,1,-0.86605
303,1,0,-0.193797
303,0,0,-1.141233
303,0,0,-0.560033
304,1,1,1.903799
304,0,0,-0.712542
304,0,0,-0.249156
305,1,1,-1.684888
305,0,0,-0.442358
305,0,1,1.209201
306,0,1,0.300522
306,0,0,-0.219445
306,1,1,0.404657
307,0,1,-0.627411
307,0,1,-0.141012
307,1,0,-1.548554
308,1,1,-0.046924
308,0,0,-0.000882
308,0,1,1.499046
309,0,0,-1.662477
309,1,0,0.457219
309,0,1,-1.088785
310,1,1,-1.063938
310,0,0,1.010705
310,0,1,0.099308
311,0,0,0.095591
311,0,0,-0.250275
311,1,0,1.075202
312,0,0,1.085056
312,0,0,1.113485
312,1,0,0.569997
313,0,0,-0.357537
313,1,0,0.410479
313,0,1,1.860521
314,0,0,-1.06664
314,0,0,-2.389455
314,1,1,-0.649085
315,0,0,0.712119
315,0,1,2.604765
315,1,1,-1.194832
316,1,0,-1.368707
316,0,1,-0.260443
316,0,1,-0.568122
317,0,0,-0.596339
317,0,0,-0.154049
317,1,0,-0.193282
318,1,1,0.205245
318,0,0,0.330502
318,0,0,-0.974034
319,0,0,-2.278057
319,1,0,-0.313285
319,0,0,-0.159172
320,0,1,0.127883
320,0,0,-1.041783
320,1,0,0.703521
321,0,1,1.22017
321,0,1,0.723871
321,1,0,1.281524
322,0,0,-0.734397
322,0,1,-1.703228
322,1,1,0.436635
323,0,0,0.234129
323,0,1,-0.350548
323,1,0,0.256566
324,1,1,-0.138406
324,0,0,-1.441529
324,0,0,-0.904848
325,0,1,-1.04312
325,1,0,0.109759
325,0,0,-0.173178
326,1,0,0.610292
326,0,1,1.019222
326,0,0,-0.006542
327,1,0,0.525077
327,0,0,0.897906
327,0,0,0.721635
328,0,0,-1.137977
328,1,1,1.284671
328,0,0,0.27432
329,0,1,0.033945
329,0,1,0.128608
329,1,1,0.716587
330,0,0,-0.690379
330,1,0,0.930078
330,0,0,1.414232
331,1,0,-0.31744
331,0,0,-0.923234
331,0,0,0.175668
332,0,1,0.81683
332,1,1,1.135667
332,0,0,0.582758
333,0,0,-1.142893
333,0,1,0.416307
333,1,1,-0.121779
334,1,1,-1.272453
334,0,0,1.644598
334,0,0,0.240907
335,0,0,0.027882
335,0,0,-0.583203
335,1,0,1.096326
336,0,0,1.652957
336,0,0,-0.431759
336,1,0,0.144857
337,0,1,1.052873
337,0,0,1.317169
337,1,0,-1.047829
338,0,0,0.804529
338,0,0,0.425879
338,1,1,-1.759434
339,0,0,0.714321
339,0,0,0.683286
339,1,1,1.456979
340,1,1,0.266988
340,0,0,0.32043
340,0,0,0.775987
341,1,1,-2.052832
341,0,0,-0.532273
341,0,0,-1.370389
342,0,0,0.108815
342,1,0,1.897887
342,0,0,-0.529309
343,1,0,0.629168
343,0,0,-1.137505
343,0,0,0.418818
344,1,0,1.44338
344,0,0,0.106847
344,0,0,0.98144
345,0,0,0.50177
345,0,0,-1.419869
345,1,1,0.96666
346,0,1,-0.673041
346,1,1,1.007518
346,0,0,-0.224388
347,0,0,-0.09002
347,0,0,1.286333
347,1,0,-0.460185
348,0,0,1.434868
348,0,0,0.289271
348,1,0,-0.379186
349,0,0,0.394163
349,0,0,-0.549777
349,1,1,-0.05655
350,0,0,-0.847512
350,0,0,-1.807263
350,1,0,2.418964
351,0,0,1.063513
351,1,0,1.410505
351,0,0,-1.557981
352,1,0,0.937991
352,0,0,-1.147215
352,0,1,-0.751734
353,1,0,-0.228675
353,0,0,-0.866412
353,0,1,0.22178
354,0,0,0.74461
354,1,1,-1.096338
354,0,0,-0.952127
355,1,0,0.182596
355,0,0,0.412471
355,0,0,-0.776085
356,1,0,-1.166305
356,0,1,-0.257437
356,0,0,0.415942
357,0,0,0.745327
357,1,1,-0.994285
357,0,0,1.815037
358,0,0,-0.370101
358,0,0,1.051474
358,1,0,0.77192
359,0,0,-1.673908
359,1,0,-0.695956
359,0,1,-1.0876
360,1,0,-1.144664
360,0,0,-0.075968
360,0,0,0.293221
361,1,0,-0.594197
361,0,0,-0.264308
361,0,1,-0.508781
362,1,1,1.902374
362,0,0,0.583105
362,0,0,-0.089587
363,0,0,-0.593902
363,1,0,-0.505169
363,0,1,1.078747
364,1,1,-0.012602
364,0,0,-2.169633
364,0,0,-0.810495
365,1,1,0.234398
365,0,0,-0.699573
365,0,0,0.390934
366,0,0,1.704673
366,1,0,-1.033643
366,0,1,-1.529582
367,1,1,-0.141704
367,0,0,0.854767
367,0,1,0.003811
368,0,0,-0.452836
368,1,1,0.834405
368,0,1,-0.113533
369,0,1,0.448247
369,1,0,-1.029852
369,0,0,0.38043
370,1,0,1.343947
370,0,0,0.602263
370,0,0,-1.237466
371,1,1,1.991308
371,0,0,0.864363
371,0,0,1.07004
372,0,0,1.042408
372,0,0,-0.10444
372,1,0,1.551598
373,0,0,-0.242268
373,1,0,1.617817
373,0,1,-0.068999
374,1,1,0.604711
374,0,1,-0.295513
374,0,0,1.382415
375,1,1,-1.911458
375,0,0,-0.177481
375,0,1,0.553235
376,0,0,-0.052144
376,1,0,2.435232
376,0,0,0.006114
377,0,0,-0.050586
377,1,1,0.020579
377,0,0,-1.611642
378,0,1,-0.635154
378,1,1,-0.69592
378,0,1,2.020645
379,0,0,0.883523
379,0,1,0.495262
379,1,0,-1.787872
380,0,0,-1.36269
380,0,1,0.176296
380,1,0,-0.533084
381,0,0,-0.480544
381,1,1,-0.460367
381,0,0,-0.56775
382,0,1,-1.164498
382,1,0,-0.672471
382,0,0,-0.573079
383,0,1,-0.006411
383,1,1,-0.01405
383,0,0,1.225534
384,0,0,-1.029134
384,1,0,1.301785
384,0,0,-1.685928
385,0,0,-1.276645
385,0,0,-0.263772
385,1,0,-1.975795
386,1,1,-0.796114
386,0,0,-0.47223
386,0,1,-1.273211
387,0,0,0.897108
387,0,1,-0.111816
387,1,0,-0.712786
388,0,1,1.199852
388,1,1,-0.594886
388,0,1,0.704293
389,0,1,1.197436
389,0,0,0.077222
389,1,0,-0.604766
390,0,1,1.050485
390,1,1,0.294247
390,0,1,-0.27826
391,0,0,-0.330163
391,0,0,0.2259
391,1,1,-1.841834
392,0,0,0.581097
392,1,0,-1.393049
392,0,1,0.257863
393,1,0,-0.019986
393,0,1,0.803182
393,0,0,-1.155842
394,1,1,0.796522
394,0,0,-1.166116
394,0,1,-1.036015
395,0,0,-1.38967
395,1,0,-0.848995
395,0,1,0.04646
396,0,0,-2.449489
396,0,0,-0.847308
396,1,0,0.923233
397,0,0,0.312076
397,0,1,0.794904
397,1,0,0.513478
398,0,1,-1.390257
398,1,1,0.962978
398,0,1,-0.303306
399,1,0,-0.78272
399,0,0,-0.865151
399,0,0,-1.123828
400,0,0,-0.186028
400,1,0,0.151625
400,0,0,0.48831
