id,time,event,exposed,covariate
144,5.9,1,1,0.798842
145,2.3,1,0,1.15098
146,0.7,1,0,1.819363
147,1.6,1,1,1.091844
148,6.8,1,1,-1.040138
149,12.0,0,1,-2.089591
150,12.0,0,0,-0.238567
151,12.0,0,0,0.679014
152,12.0,0,0,-1.368941
153,12.0,0,1,1.5311
154,12.0,0,0,-0.324902
155,12.0,0,0,-0.208922
156,4.1,1,1,-0.822153
157,12.0,0,0,-1.554337
158,12.0,0,1,-0.218732
159,12.0,0,0,-0.405076
160,4.2,1,0,0.410709
161,12.0,0,0,0.119103
162,12.0,0,1,0.421911
163,12.0,0,0,-0.618596
164,1.1,1,0,-1.69526
165,5.9,1,1,0.410258
166,11.6,1,1,-0.043066
167,2.3,1,0,0.246755
168,10.0,1,1,-0.624748
169,12.0,0,0,1.140979
170,6.3,1,0,1.519433
171,11.8,1,0,-1.101773
172,12.0,0,0,0.224419
173,1.7,1,0,0.831346
174,12.0,0,1,-0.655695
175,12.0,0,0,1.44065
176,7.6,1,0,1.42243
177,10.1,1,1,1.219291
178,6.0,1,0,-1.533778
179,3.8,1,1,0.42986
180,8.4,1,1,-2.002334
181,12.0,0,1,0.366468
182,12.0,0,1,0.154875
183,8.4,1,0,0.693487
184,0.9,1,1,0.310643
185,3.2,1,1,-0.249173
186,12.0,0,1,-1.021354
187,1.7,1,1,0.369233
188,4.4,1,0,-1.969
189,12.0,0,0,0.110242
190,12.0,0,0,-0.91156
191,4.1,1,1,1.27367
192,12.0,0,0,-1.614921
193,12.0,0,0,0.782741
194,1.3,1,1,-0.357599
195,4.0,1,1,-1.182483
196,12.0,0,0,0.545256
197,12.0,0,0,-0.503304
198,2.5,1,1,0.73638
199,12.0,0,0,-1.41659
200,12.0,0,0,-0.326127
201,3.2,1,1,-3.155666
202,0.5,1,1,1.046497
203,12.0,0,1,0.307079
204,8.0,1,0,0.130092
205,0.1,1,0,-0.248968
206,0.0,1,1,0.421072
207,1.1,1,0,-0.574747
208,12.0,0,0,-1.558971
209,12.0,0,1,-0.320252
210,10.7,1,1,0.769942
211,11.1,1,0,0.617677
212,12.0,0,1,-0.08206
213,6.1,1,0,-0.567147
214,12.0,0,0,-0.388946
215,12.0,0,0,1.092444
216,12.0,0,1,-0.448878
217,1.1,1,0,-1.126173
218,12.0,0,1,-1.637549
219,12.0,0,1,-0.026984
220,12.0,0,0,-0.040289
221,12.0,0,0,-0.33993
222,12.0,0,0,-1.618981
223,12.0,1,1,0.622654
224,12.0,0,0,-0.370805
225,10.9,1,0,1.800641
226,12.0,0,0,-0.190859
227,5.0,1,1,-0.09647
228,0.8,1,0,-1.73781
229,0.9,1,1,-0.296587
230,0.9,1,0,0.662908
231,12.0,0,0,2.034142
232,3.3,1,1,2.651185
233,12.0,0,0,-1.558621
234,7.9,1,0,-0.321013
235,3.1,1,0,0.034436
236,12.0,0,0,0.555345
237,12.0,0,1,0.354015
238,9.9,1,1,0.492031
239,12.0,0,1,-0.712755
240,12.0,0,1,-0.528207
241,12.0,0,0,-0.361561
242,12.0,0,1,0.278588
243,12.0,0,0,-0.507232
244,12.0,0,1,-0.228427
245,12.0,0,0,-0.143147
246,9.4,1,1,0.383584
247,6.5,1,0,-0.272309
248,10.5,1,0,-1.192803
249,5.3,1,1,2.516705
250,0.6,1,0,3.230704
251,1.4,1,1,-0.552669
252,6.3,1,0,0.89181
253,7.7,1,1,1.653764
254,7.0,1,0,-0.211074
255,12.0,0,0,-2.125289
256,4.5,1,0,-0.653135
257,11.2,1,0,-0.340087
258,12.0,0,0,0.324353
259,4.5,1,1,0.719637
260,0.4,1,0,0.368723
261,12.0,0,0,-1.500294
262,3.8,1,0,-0.370418
263,12.0,0,1,-0.869689
264,12.0,0,0,1.406073
265,6.5,1,1,0.347004
266,3.1,1,0,-1.068743
267,12.0,0,0,-1.084877
268,11.8,1,0,1.060917
269,12.0,0,0,-0.221802
270,12.0,0,1,-1.954267
271,6.2,1,1,0.6888
272,12.0,0,0,1.173764
273,2.5,1,0,0.424177
274,1.6,1,1,0.806938
275,4.6,1,1,-0.441094
276,7.2,1,0,-0.557069
277,12.0,0,1,-0.800575
278,3.8,1,0,0.826058
279,1.1,1,1,1.303819
280,12.0,0,0,0.474122
281,6.3,1,0,-0.584258
282,12.0,0,0,-1.652884
283,11.8,1,0,-0.169349
284,12.0,0,1,-0.403762
285,12.0,0,1,0.790395
286,0.4,1,0,1.411509
287,4.5,1,1,1.062554
288,3.9,1,1,-0.825768
289,12.0,0,1,0.667631
290,12.0,0,1,-0.401099
291,3.4,1,1,0.988503
292,5.3,1,1,-2.200939
293,2.0,1,1,0.561813
294,7.8,1,0,-0.999891
295,11.6,1,1,-0.201521
296,12.0,0,1,-0.867517
297,12.0,0,1,-0.540851
298,8.8,1,1,0.616406
299,12.0,0,0,0.062668
300,12.0,0,1,-0.765356
301,12.0,0,1,-0.431336
302,4.0,1,0,1.596447
303,12.0,0,1,-0.177642
304,6.6,1,0,0.185901
305,12.0,0,0,-0.485801
306,12.0,0,1,-0.194858
307,9.9,1,1,-0.109575
308,0.1,1,1,0.75728
309,12.0,0,0,2.095799
310,12.0,0,0,0.748322
311,4.8,1,1,0.710794
312,12.0,0,0,0.857833
313,11.9,1,1,1.379436
314,4.1,1,1,1.605841
315,10.4,1,1,1.650076
316,5.0,1,0,1.046626
317,12.0,0,0,0.317757
318,12.0,0,1,-0.264408
319,12.0,0,0,0.699748
320,7.9,1,1,-0.010962
321,1.5,1,0,-0.508989
322,12.0,0,0,1.887279
323,12.0,0,0,-0.207027
324,12.0,0,0,-1.630222
325,1.6,1,1,1.642588
326,6.3,1,1,1.751913
327,12.0,0,0,-0.954958
328,12.0,0,0,-1.349352
329,1.0,1,0,-0.032324
330,12.0,0,0,-2.040696
331,12.0,0,1,-0.251501
332,12.0,0,0,0.522636
333,12.0,0,0,-0.536545
334,12.0,0,1,-1.492615
335,3.0,1,1,0.019331
336,0.9,1,0,0.4113
337,3.1,1,1,1.051481
338,6.1,1,1,0.075495
339,3.8,1,0,0.776297
340,4.2,1,0,-0.36598
341,12.0,0,1,-2.588092
342,12.0,0,0,1.532486
343,12.0,0,0,0.336264
344,12.0,0,0,-1.119208
345,6.0,1,0,-2.266744
346,1.9,1,1,-0.063067
347,12.0,0,0,0.878954
348,1.1,1,0,1.314877
349,12.0,0,0,-1.075503
350,12.0,0,1,-0.026555
351,2.2,1,0,-0.029411
352,12.0,0,1,-1.388061
353,10.7,1,0,-1.360499
354,12.0,0,1,-1.046475
355,7.6,1,1,-0.061003
356,12.0,0,1,-1.531846
357,9.0,1,1,1.246038
358,10.8,1,0,0.16322
359,5.3,1,1,0.685621
360,12.0,0,0,-0.474366
361,12.0,0,0,-0.610769
362,12.0,0,1,-1.236276
363,0.3,1,1,0.550548
364,10.6,1,0,0.833999
365,1.2,1,0,-0.72181
366,6.3,1,0,0.206187
367,8.0,1,1,-0.993295
368,2.7,1,1,-0.1293
369,1.2,1,0,0.020107
370,2.9,1,0,0.870338
371,9.2,1,0,0.828194
372,9.2,1,1,-0.418716
373,12.0,0,0,-0.392817
374,12.0,0,0,-0.517613
375,5.0,1,1,1.544598
376,7.4,1,0,0.457496
377,3.4,1,1,1.611598
378,7.6,1,1,-1.898201
379,11.8,1,0,0.102486
380,10.5,1,0,1.29464
381,12.0,0,0,-0.271154
382,12.0,0,1,0.412194
383,12.0,0,0,0.361597
384,12.0,0,0,2.603273
385,12.0,0,0,-1.530402
386,1.3,1,1,-0.68557
387,12.0,0,0,0.687522
388,12.0,0,1,-0.038288
389,12.0,0,0,-0.586558
390,12.0,0,1,-1.943311
391,1.1,1,0,0.433624
392,2.1,1,1,-0.080492
393,4.4,1,1,0.065643
394,6.4,1,0,-2.273198
395,6.7,1,1,0.461748
396,12.0,0,0,-0.135772
397,6.3,1,1,0.11693
398,12.0,0,0,-0.469783
399,12.0,0,0,-0.804148
400,9.4,1,0,0.301192
401,12.0,0,0,-0.607076
402,0.2,1,1,0.418016
403,12.0,0,1,-0.255694
404,12.0,0,1,0.664022
405,3.8,1,0,-0.219002
406,3.6,1,1,0.26323
407,7.7,1,1,-1.533418
408,12.0,0,0,-0.957537
409,4.1,1,0,-1.337357
410,6.9,1,1,-0.034748
411,2.4,1,0,1.099488
412,6.6,1,0,-0.225178
413,2.6,1,1,0.671202
414,12.0,0,1,0.963709
415,11.5,1,1,1.181689
416,11.4,1,0,-0.996622
417,5.0,1,1,0.117236
418,12.0,0,0,-1.29259
419,4.1,1,1,-0.571097
420,12.0,0,1,-0.138659
421,12.0,0,0,0.23313
422,6.9,1,1,-0.960279
423,8.5,1,0,-1.784566
424,12.0,0,0,0.312561
425,9.9,1,0,1.209451
426,8.9,1,0,0.148775
427,4.7,1,0,1.30304
428,12.0,0,0,0.112341
429,9.9,1,1,0.121088
430,3.6,1,1,0.414588
431,12.0,0,1,-0.187537
432,1.7,1,0,1.257877
433,5.7,1,1,-2.150671
434,4.6,1,1,-0.786867
435,2.9,1,0,-0.391635
436,1.2,1,0,0.958755
437,12.0,0,0,0.509019
438,10.3,1,1,-2.32361
439,9.5,1,0,-0.869205
440,12.0,0,1,-1.086407
441,0.2,1,1,-0.336293
442,12.0,0,1,-0.818107
443,12.0,0,0,-0.310561
444,11.7,1,0,1.608941
445,11.5,1,1,1.126745
446,12.0,0,0,0.797814
447,3.2,1,1,-0.530556
448,3.5,1,1,-0.763529
449,12.0,0,0,1.526895
450,12.0,0,0,-0.850146
451,12.0,0,1,0.30594
452,6.4,1,0,2.059408
453,9.7,1,1,1.149724
454,12.0,0,1,-1.3745
455,0.4,1,0,0.609473
456,12.0,0,0,-0.920328
457,12.0,0,1,0.320947
458,12.0,0,0,0.532058
459,2.1,1,0,-1.448374
460,4.8,1,1,-0.30219
461,12.0,0,0,-0.541103
462,12.0,0,0,-0.498404
463,3.5,1,0,0.161018
464,11.7,1,1,1.248813
465,12.0,0,0,0.571689
466,12.0,0,1,-0.262919
467,12.0,0,1,-0.59485
468,9.1,1,1,-0.378886
469,6.2,1,1,-1.35528
470,12.0,0,1,-0.805571
471,12.0,0,1,-0.600405
472,12.0,0,0,-0.232454
473,12.0,0,0,-0.232124
474,12.0,0,1,0.190006
475,1.0,1,0,-0.956611
476,9.0,1,1,0.640503
477,10.4,1,0,-0.55314
478,1.3,1,0,-0.114082
479,12.0,0,1,-0.135838
480,9.3,1,0,1.264476
481,12.0,0,1,-0.580208
482,0.4,1,0,1.051618
483,12.0,0,1,-0.414702
484,12.0,0,0,-0.008258
485,0.0,1,1,-1.321849
486,1.0,1,1,0.047024
487,12.0,0,0,-0.325328
488,12.0,0,1,-1.807239
489,2.8,1,1,1.194221
490,12.0,0,1,-3.388999
491,4.6,1,1,-0.443036
492,5.7,1,0,1.503929
493,12.0,0,1,-1.263275
494,12.0,0,0,1.267074
495,12.0,0,1,0.664276
496,7.4,1,0,-1.521111
497,10.9,1,1,-0.750759
498,8.1,1,1,-0.283528
499,4.4,1,0,0.885997
500,1.4,1,1,-1.164734
501,6.0,1,1,0.144431
502,12.0,0,1,-1.439779
503,12.0,0,0,1.098049
504,12.0,0,0,0.302394
505,6.9,1,0,0.475318
506,12.0,0,1,0.301771
507,12.0,0,0,2.074528
508,3.7,1,0,1.546422
509,12.0,0,0,-1.319428
510,12.0,0,0,1.217996
511,12.0,0,1,-1.433424
512,4.3,1,1,3.672214
513,12.0,0,0,-0.020245
514,3.5,1,1,-0.185002
515,12.0,0,0,1.296767
516,5.4,1,1,-1.163802
517,3.7,1,1,0.204642
518,8.9,1,0,-0.70494
519,2.3,1,1,-0.401738
520,12.0,0,1,1.302676
521,8.7,1,0,0.411605
522,12.0,0,0,-0.390914
523,12.0,0,0,-0.960187
524,0.1,1,0,-0.73384
525,12.0,0,1,0.78586
526,5.4,1,1,1.113454
527,2.1,1,1,-0.555352
528,8.7,1,1,-0.958289
529,12.0,0,0,-0.446934
530,12.0,0,0,-0.51191
531,12.0,0,0,-1.774548
532,6.1,1,0,0.085816
533,10.6,1,1,-1.079121
534,11.6,1,1,-0.791224
535,7.3,1,0,0.927536
536,6.1,1,0,1.247645
537,2.7,1,1,0.165532
538,12.0,0,0,-0.000414
539,12.0,0,0,0.649734
540,12.0,0,0,-1.121514
541,4.7,1,1,-0.398885
542,12.0,0,0,-0.653781
543,12.0,0,0,-1.085331
544,12.0,0,1,-0.809056
545,12.0,0,0,-1.743084
546,12.0,0,1,-0.461104
547,4.2,1,0,0.734019
548,10.1,1,1,0.709382
549,1.8,1,1,0.540162
550,3.2,1,1,1.132866
551,5.1,1,1,1.539032
552,9.5,1,0,0.678397
553,12.0,0,0,0.116107
554,0.7,1,1,1.45227
555,0.1,1,0,-0.417756
556,12.0,0,1,-0.452178
557,6.9,1,0,1.712361
558,12.0,0,1,0.875019
559,0.1,1,1,0.760367
560,12.0,0,0,-0.811096
561,11.7,1,0,0.722033
562,9.2,1,0,0.891505
563,3.7,1,0,-0.214581
564,10.8,1,0,-0.752413
565,6.5,1,0,1.434136
566,0.2,1,0,-0.969446
567,9.4,1,0,-0.325472
568,12.0,0,0,1.628479
569,12.0,0,1,1.838123
570,5.9,1,1,1.673966
571,12.0,0,1,-1.320982
572,12.0,0,1,-0.500082
573,8.9,1,0,-0.075669
574,5.6,1,1,-1.159242
575,1.1,1,0,0.667803
576,12.0,0,0,0.152087
577,12.0,0,0,0.037649
578,1.3,1,0,-0.751253
579,12.0,0,0,0.124196
580,8.3,1,0,0.287684
581,2.2,1,0,-0.142789
582,12.0,0,0,-0.746846
583,1.6,1,0,-0.032875
584,1.6,1,1,-0.142839
585,10.5,1,1,0.076783
586,12.0,0,0,-0.264475
587,2.1,1,1,1.286981
588,12.0,0,1,-1.119566
589,0.8,1,0,1.239333
590,1.1,1,1,0.392454
591,12.0,0,1,-0.76674
592,12.0,0,0,0.063616
593,12.0,0,0,-1.19752
594,12.0,0,1,0.310485
595,12.0,0,0,1.393482
596,12.0,0,0,-0.361693
597,12.0,0,0,1.482578
598,1.4,1,1,1.56459
599,6.4,1,1,0.217212
600,10.7,1,0,-0.191926
601,2.4,1,1,-1.493217
602,8.4,1,1,-2.41391
603,12.0,0,0,-0.038025
604,12.0,0,0,-0.166853
605,7.5,1,0,0.247461
606,10.4,1,1,-0.818224
607,1.1,1,1,0.992251
608,1.5,1,1,1.156931
609,0.7,1,1,2.323997
610,10.7,1,1,-0.612606
611,12.0,0,0,-1.676287
612,12.0,0,1,-0.214861
613,6.6,1,1,-0.286035
614,4.8,1,1,-0.440577
615,3.4,1,1,2.734215
616,0.6,1,1,-0.923303
617,2.8,1,1,-0.383185
618,8.6,1,1,0.931349
619,2.9,1,1,0.755659
620,12.0,0,0,-1.134431
621,12.0,0,1,-1.009928
622,12.0,0,0,1.405315
623,12.0,0,0,-1.312087
624,2.5,1,0,0.70877
625,12.0,0,0,-0.171174
626,12.0,0,1,0.221854
627,12.0,0,0,-2.508556
628,12.0,0,0,-1.02136
629,12.0,0,0,-0.399404
630,12.0,0,1,-0.298676
631,3.2,1,1,-0.669297
632,12.0,0,0,-0.215925
633,12.0,0,0,0.758866
634,12.0,0,0,-0.672588
635,0.6,1,0,0.251856
636,12.0,0,0,1.19736
637,11.1,1,0,1.463799
638,9.2,1,0,1.1293
639,8.9,1,0,0.695876
640,7.0,1,1,-0.347652
641,4.8,1,1,0.083958
642,9.3,1,0,0.303283
643,12.0,0,0,-0.978601
644,4.3,1,1,0.485877
645,12.0,0,1,-1.903284
646,0.8,1,0,-0.48866
647,0.3,1,1,0.03749
648,3.1,1,1,0.819416
649,12.0,0,1,-0.526717
650,4.3,1,1,-0.046748
651,12.0,0,1,-1.609006
652,7.9,1,1,0.883741
653,12.0,0,0,-0.939201
654,12.0,0,1,0.173204
655,6.1,1,0,-0.870447
656,10.2,1,0,1.5589
657,12.0,0,1,-1.262263
658,12.0,0,1,-1.492733
659,7.0,1,1,-0.387649
660,12.0,0,1,-0.541535
661,0.2,1,1,-0.530544
662,12.0,0,0,-1.135068
663,4.5,1,1,0.323669
664,12.0,0,0,0.766444
665,1.5,1,0,0.012009
666,12.0,0,0,1.414214
667,12.0,0,0,0.45529
668,12.0,0,0,-2.153556
669,12.0,0,0,-0.4424
670,2.0,1,0,-0.148711
671,12.0,0,0,-0.868821
672,12.0,0,0,-0.164905
673,7.0,1,0,1.318883
674,5.4,1,0,2.222928
675,3.3,1,1,-1.290706
676,12.0,0,1,0.108061
677,12.0,0,1,-1.199668
678,12.0,0,1,-0.5315
679,12.0,0,0,-0.436219
680,12.0,0,1,0.195462
681,12.0,0,1,-0.77696
682,12.0,0,0,-0.589712
683,12.0,0,0,-1.021502
684,3.2,1,0,-0.105702
685,0.3,1,0,1.274211
686,12.0,0,1,-1.004589
687,2.9,1,1,0.511282
688,1.6,1,1,-0.293731
689,7.7,1,0,-1.21328
690,12.0,0,0,-0.595067
691,12.0,0,0,-1.168106
692,12.0,0,0,1.211832
693,12.0,0,0,-0.37354
694,12.0,0,0,-0.057378
695,9.0,1,1,-0.850436
696,9.6,1,0,0.275504
697,12.0,0,1,-0.166912
698,12.0,0,0,0.847092
699,2.3,1,0,-0.145157
700,12.0,0,0,-1.472531
701,6.4,1,1,-0.068905
702,3.4,1,1,1.796708
703,0.1,1,1,-0.435461
704,12.0,0,0,-1.250826
705,4.5,1,0,0.62407
706,3.3,1,0,0.228018
707,12.0,0,1,-1.106419
708,12.0,0,0,0.030063
709,2.7,1,0,1.233593
710,6.6,1,1,1.540511
711,12.0,0,0,-0.708988
712,12.0,0,1,-0.269105
713,12.0,0,0,0.951865
714,7.8,1,0,2.11599
715,12.0,0,0,1.201771
716,12.0,0,0,-0.011528
717,3.4,1,1,-1.381794
718,3.9,1,0,-1.282668
719,12.0,0,1,-0.27487
720,7.8,1,0,-0.101081
721,9.4,1,1,-0.582804
722,12.0,0,0,0.436993
723,12.0,0,0,0.483328
724,12.0,0,1,-1.218097
725,2.0,1,1,0.036561
726,6.9,1,0,-0.425824
727,1.6,1,0,-1.373016
728,12.0,0,1,0.947477
729,9.8,1,1,0.902293
730,3.8,1,0,-0.380905
731,12.0,0,0,-0.408943
732,3.8,1,1,1.936121
733,12.0,0,0,-1.560096
734,12.0,0,1,1.055211
735,12.0,0,0,-1.19121
736,6.4,1,1,1.450423
737,12.0,0,1,0.12649
738,4.3,1,0,1.724194
739,12.0,0,1,0.322187
740,12.0,0,1,-0.923826
741,1.3,1,1,-1.093969
742,3.9,1,0,0.217227
743,12.0,0,1,0.770468
744,9.7,1,1,-0.11499
745,12.0,0,0,-0.046674
746,6.2,1,1,-0.22924
747,12.0,0,1,-1.158595
748,2.7,1,1,0.188571
749,12.0,0,0,0.171963
750,12.0,0,0,-1.376857
751,6.2,1,1,0.987017
752,10.0,1,0,0.465628
753,5.0,1,1,-0.763315
754,3.0,1,1,-1.052167
755,7.8,1,1,-1.018942
756,1.3,1,0,1.126327
757,1.8,1,1,-1.487081
758,8.7,1,0,1.803598
759,7.4,1,1,0.409821
760,3.0,1,1,1.425323
761,12.0,0,1,0.605542
762,12.0,0,0,-1.659686
763,12.0,0,0,1.18031
764,12.0,0,1,-0.13394
765,8.9,1,1,0.697576
766,12.0,0,0,-0.293033
767,12.0,0,0,-0.899896
768,4.7,1,0,0.873338
769,6.9,1,0,1.665798
770,12.0,0,0,0.529242
771,6.8,1,1,-0.555629
772,12.0,0,0,0.60743
773,6.6,1,1,-0.416734
774,12.0,0,0,-0.390408
775,12.0,0,0,-2.953207
776,12.0,0,0,-0.261922
777,10.0,1,1,-0.972359
778,3.8,1,0,1.490839
779,9.1,1,0,-0.74181
780,6.8,1,1,-1.24072
781,12.0,0,1,-1.609071
782,7.2,1,0,1.114971
783,3.6,1,1,-0.1976
784,1.6,1,1,-0.104771
785,10.1,1,1,-0.261822
786,12.0,0,0,0.446882
787,12.0,0,1,0.8034
788,11.6,1,1,0.920724
789,12.0,0,0,-2.35438
790,7.1,1,0,2.969861
791,12.0,0,1,0.385972
792,12.0,0,1,0.133627
793,4.0,1,1,0.637637
794,2.2,1,0,0.956517
795,0.2,1,0,-0.126365
796,12.0,0,1,-0.046794
797,12.0,0,1,-1.364423
798,3.8,1,0,-0.361044
799,12.0,0,1,1.703884
800,12.0,0,0,0.016055
801,1.8,1,1,-0.241697
802,3.7,1,1,1.01432
803,12.0,0,1,-0.677451
804,3.7,1,0,-0.949944
805,9.2,1,0,-0.477956
806,4.4,1,0,0.772152
807,12.0,0,0,-1.217997
808,3.7,1,0,-0.465387
809,6.5,1,1,0.859019
810,5.8,1,0,-0.07061
811,12.0,0,1,-1.504781
812,6.4,1,1,-0.470675
813,2.7,1,1,-0.213105
814,12.0,0,0,-0.089815
815,1.0,1,1,0.890922
816,12.0,0,1,-0.066977
817,7.8,1,0,-0.859429
818,12.0,0,0,-0.126971
819,1.0,1,0,2.14043
820,12.0,0,1,-1.88254
821,2.3,1,1,-0.264561
822,12.0,0,0,-0.518285
823,12.0,0,0,-1.219318
824,2.9,1,1,1.367299
825,12.0,0,0,-0.294076
826,6.3,1,1,0.069972
827,0.1,1,1,0.415821
828,12.0,0,0,0.226807
829,12.0,0,1,-1.263282
830,6.7,1,1,0.355898
831,12.0,0,0,0.177406
832,12.0,0,0,-0.353694
833,12.0,0,0,-0.892139
834,12.0,0,1,-0.382526
835,12.0,0,1,0.055541
836,5.5,1,0,2.148432
837,12.0,0,0,0.797356
838,8.2,1,1,-0.240563
839,12.0,0,1,0.75919
840,12.0,0,1,2.187917
841,1.9,1,0,-0.756622
842,5.3,1,0,-0.986203
843,6.6,1,1,0.930741
844,12.0,0,0,0.942171
845,12.0,0,0,1.370557
846,0.8,1,1,0.262187
847,10.4,1,1,-1.523051
848,0.3,1,0,0.95913
849,7.9,1,0,2.100017
850,1.5,1,0,-0.600855
851,4.5,1,0,-0.158988
852,12.0,0,1,0.195685
853,12.0,0,1,-2.316323
854,12.0,0,1,-0.692141
855,12.0,0,1,-0.00175
856,12.0,0,0,0.60683
857,8.3,1,0,-0.690637
858,12.0,0,0,1.123865
859,3.1,1,1,0.122803
860,6.2,1,0,-1.081794
861,12.0,0,1,1.935171
862,0.1,1,0,1.228785
863,12.0,0,1,-1.268187
864,4.6,1,0,0.413594
865,12.0,0,0,0.068593
866,0.5,1,0,-0.79914
867,12.0,0,0,-0.325994
868,1.9,1,0,-0.07835
869,4.0,1,0,-2.209974
870,12.0,0,1,1.499075
871,12.0,0,0,-0.371551
872,1.7,1,0,0.299929
873,2.5,1,0,-0.230885
874,12.0,0,1,-1.283486
875,12.0,0,0,0.057986
876,3.0,1,1,0.076956
877,12.0,0,1,0.014543
878,12.0,0,0,0.134107
879,12.0,0,0,0.008678
880,11.2,1,0,-0.58522
881,12.0,0,0,0.914927
882,7.1,1,0,0.737796
883,5.0,1,1,0.523906
884,2.1,1,1,0.743882
885,12.0,0,1,-1.698314
886,12.0,0,0,-0.63828
887,2.3,1,0,-0.69186
888,5.8,1,1,2.389676
889,12.0,0,0,0.443609
890,12.0,0,1,-0.8068
891,11.2,1,0,1.146895
892,12.0,0,0,0.23842
893,12.0,0,1,-1.101424
894,12.0,0,1,-0.264158
895,2.8,1,0,-0.993827
896,12.0,0,0,0.449962
897,12.0,0,1,-0.219403
898,12.0,0,0,-0.019329
899,12.0,0,1,0.429266
