id,treated,L,outcome
106,1,-1.020729,0
107,1,0.747961,1
108,0,0.679984,0
109,1,0.117146,0
110,1,-0.28378,0
111,0,-0.015793,1
112,1,-0.747796,1
113,1,1.407527,1
114,0,-2.548263,0
115,1,-0.447407,0
116,1,-0.922586,0
117,1,2.26444,1
118,1,-0.326614,0
119,0,-1.214314,0
120,1,-0.425063,0
121,1,1.856803,1
122,0,-0.449954,0
123,1,-0.582529,0
124,0,-0.111455,1
125,1,-0.541235,0
126,1,0.965267,0
127,1,-0.896921,1
128,0,-1.195012,0
129,1,1.240957,1
130,0,-0.623401,0
131,1,-0.078804,1
132,1,1.332795,0
133,0,-0.396801,0
134,1,1.889825,0
135,0,1.072092,0
136,1,-0.464981,0
137,1,0.811127,1
138,0,-0.675549,0
139,1,0.45935,1
140,0,-0.413878,0
141,1,0.812426,1
142,0,-0.446818,0
143,0,-1.390368,0
144,0,-1.381506,0
145,0,-0.566196,0
146,0,-2.190123,0
147,0,1.364267,0
148,1,1.327303,1
149,0,-0.720646,0
150,1,1.466067,1
151,1,2.500781,1
152,0,0.56317,0
153,1,-0.232729,0
154,1,0.239218,0
155,1,0.063583,0
156,1,1.146194,1
157,1,1.398638,1
158,1,-0.774502,0
159,0,-1.296034,0
160,0,-1.058684,1
161,0,-1.484385,0
162,1,1.06669,1
163,0,0.148571,0
164,0,-0.390227,0
165,0,-0.723724,0
166,1,-0.464908,0
167,1,-0.760307,0
168,0,-0.662815,0
169,1,2.170613,0
170,0,0.680992,1
171,1,1.396295,0
172,0,-0.561715,0
173,0,0.33418,0
174,1,0.185021,0
175,0,-0.033947,0
176,0,0.294694,0
177,0,0.285531,0
178,0,-0.925775,0
179,0,-0.502225,0
180,0,-0.24183,0
181,0,-2.220269,0
182,0,-1.335763,0
183,0,-1.860369,0
184,1,0.178339,0
185,1,1.344303,1
186,1,0.987487,1
187,0,1.069982,0
188,1,-0.257366,0
189,1,0.208912,0
190,0,-0.478252,0
191,1,-0.973302,0
192,1,1.402253,1
193,0,-1.241387,0
194,1,-1.119082,0
195,0,-1.051451,0
196,1,-0.31668,0
197,0,0.138572,1
198,1,0.270919,0
199,1,0.108629,0
200,1,1.093106,1
201,1,0.195967,0
202,1,-1.637837,0
203,0,-1.871113,0
204,0,-0.743323,0
205,0,0.400689,0
206,0,-0.40499,1
207,1,-0.498702,0
208,1,0.721345,0
209,0,-0.843451,0
210,1,0.101626,0
211,1,-1.067696,0
212,1,-0.075421,0
213,1,-0.6767,0
214,1,-0.139218,0
215,1,0.970855,0
216,1,-0.180179,0
217,0,-0.819452,0
218,0,-1.128433,0
219,0,0.414942,1
220,1,0.049102,0
221,0,-1.196439,0
222,1,0.270436,0
223,0,1.505091,1
224,0,-1.722161,0
225,1,-0.038321,0
226,1,1.275524,1
227,1,1.200225,1
228,0,0.98396,0
229,1,-0.221243,0
230,1,-0.957112,0
231,0,-0.249186,0
232,0,2.155045,1
233,1,1.796867,1
234,1,0.831701,0
235,1,1.606437,1
236,0,0.290839,0
237,1,2.195354,0
238,1,1.314636,1
239,1,-0.787672,0
240,0,-0.79142,1
241,0,-0.365921,0
242,0,1.236517,1
243,0,-1.764276,0
244,1,0.584504,1
245,0,-1.244444,0
246,1,0.146663,0
247,1,-0.839728,0
248,1,-0.31079,0
249,0,-0.072912,1
250,1,-0.856804,0
251,0,0.724373,1
252,1,1.085977,0
253,1,1.242823,0
254,0,-1.120726,0
255,1,-0.298212,0
256,0,-0.966082,0
257,0,0.53409,0
258,0,0.145532,1
259,1,-0.378408,0
260,0,-0.027928,0
261,1,1.201631,0
262,0,0.90135,1
263,0,0.032659,0
264,1,2.69267,1
265,1,-0.860473,0
266,1,1.278765,1
267,1,0.840503,1
268,1,-0.008556,0
269,0,-0.357398,0
270,0,-2.465799,0
271,0,-1.796936,0
272,0,-1.06586,0
273,0,-0.360683,1
274,1,1.895548,1
275,0,0.46164,0
276,0,-0.171028,0
277,0,-0.659773,0
278,1,-0.373966,1
279,0,-1.124674,0
280,1,0.540652,1
281,0,0.793787,1
282,0,-0.000372,0
283,0,-0.993672,0
284,0,-0.631568,0
285,0,0.047516,0
286,0,0.845621,0
287,1,-0.174039,0
288,0,1.374037,0
289,1,-0.480822,0
290,1,-0.751133,0
291,1,1.417395,0
292,0,0.365931,1
293,1,-0.658666,0
294,1,0.592468,1
295,0,-0.310762,0
296,1,0.130407,1
297,0,-0.16054,0
298,1,1.556631,1
299,0,-1.754783,0
300,0,-0.775663,0
301,0,0.756367,0
302,1,0.234543,1
303,0,1.993293,1
304,1,-1.634218,0
305,0,-0.954037,0
306,1,0.233429,1
307,1,0.980848,0
308,1,0.161623,0
309,1,0.176182,1
310,0,1.412084,0
311,1,0.438939,0
312,1,-1.404787,1
313,1,0.000286,1
314,0,-0.824592,0
315,1,-0.43961,0
316,1,1.65454,0
317,1,0.664608,1
318,1,2.315546,1
319,1,-0.555603,0
320,0,-1.592667,0
321,0,-0.210992,0
322,1,-0.621981,0
323,1,0.792568,1
324,1,-0.285931,0
325,1,1.143441,0
326,1,-0.813913,0
327,0,-0.86196,0
328,1,-0.13557,1
329,1,1.651043,0
330,1,0.904078,1
331,0,0.56821,1
332,1,0.248164,0
333,1,0.44385,0
334,1,-0.678657,0
335,0,-1.209604,0
336,1,1.214505,0
337,0,-0.656453,0
338,0,0.761509,1
339,0,0.306108,0
340,0,0.067295,1
341,1,1.072774,1
342,0,-1.309595,0
343,0,0.511605,0
344,1,0.125553,1
345,1,0.694574,0
346,0,-0.303592,0
347,1,1.718169,0
348,0,0.420734,0
349,0,0.861912,1
350,0,1.395908,1
351,1,-1.397159,0
352,0,-0.110406,0
353,0,0.4956,0
354,0,-0.479722,1
355,0,0.905312,1
356,0,-0.483868,0
357,0,0.799114,1
358,1,-0.027822,0
359,1,1.199493,1
360,1,0.743146,0
361,0,-1.111774,0
362,0,-0.844088,0
363,1,-0.306649,1
364,0,-2.139019,0
365,1,0.381726,1
366,0,-0.682734,0
367,1,0.028125,1
368,0,-2.262937,0
369,1,-0.030988,1
370,0,-0.08695,1
371,0,-1.107748,0
372,0,-0.82938,0
373,0,1.444595,0
374,1,0.972425,1
375,0,-0.038693,1
376,0,-1.308069,0
377,1,-1.154144,0
378,1,1.451428,1
379,1,1.731962,1
380,1,0.038614,1
381,1,-0.802868,0
382,1,-0.501714,1
383,0,0.825778,1
384,1,-0.728896,0
385,1,-0.215696,0
386,1,-1.530338,0
387,0,-0.462287,0
388,1,0.979021,0
389,1,1.840445,1
390,0,-0.109377,0
391,0,-1.577675,0
392,0,-2.456937,0
393,1,-1.297659,0
394,0,-0.588825,0
395,1,0.737551,1
396,1,-1.131719,0
397,0,0.527477,0
398,0,-0.417799,0
399,0,0.713448,1
400,1,-0.588819,1
401,0,-0.201006,0
402,1,-0.493681,0
403,1,0.867899,1
404,0,1.845775,0
405,0,-2.129318,0
406,0,-0.525639,0
407,1,-0.552066,0
408,1,2.488232,1
409,0,-0.436027,0
410,1,-0.134486,0
411,0,-0.91475,0
412,0,-0.90521,0
413,0,0.678326,0
414,0,-1.447102,0
415,0,1.18574,0
416,0,-0.458019,0
417,0,0.013963,0
418,0,0.425536,0
419,1,0.054221,1
420,1,0.583576,1
421,1,0.864739,0
422,0,-0.995337,0
423,1,-0.195103,0
424,0,0.206863,0
425,0,0.432546,1
426,1,0.384472,0
427,1,-0.44802,1
428,0,0.569976,1
429,0,1.111285,1
430,1,0.413095,1
431,1,1.992924,1
432,0,-1.456489,0
433,1,0.145052,0
434,0,0.56082,0
435,1,-0.070615,0
436,0,-0.228223,0
437,1,0.497843,1
438,1,0.278666,1
439,1,0.359493,0
440,0,-0.528855,0
441,0,-0.617829,0
442,0,0.041999,0
443,0,-0.760147,0
444,0,-0.216132,0
445,1,0.155688,0
446,0,1.461126,0
447,0,-1.022528,0
448,0,-0.030049,0
449,1,0.013366,0
450,0,0.617933,0
451,1,1.089509,1
452,0,-1.963649,1
453,1,0.681406,0
454,0,0.408479,0
455,1,1.508824,1
456,0,-1.03251,0
457,1,1.546066,1
458,0,0.674983,0
459,1,0.401874,1
460,0,0.948666,0
461,0,-0.215561,0
462,0,-0.127115,0
463,0,1.754758,1
464,0,-1.479389,0
465,1,-1.708022,0
466,1,-1.352698,0
467,1,0.559898,0
468,0,1.718046,0
469,1,-2.030473,0
470,0,1.971149,1
471,0,0.16968,1
472,1,0.075633,0
473,1,-0.242448,0
474,1,1.503827,1
475,1,0.364269,0
476,1,-0.595338,0
477,1,1.211295,1
478,0,2.59726,1
479,1,0.185487,0
480,1,0.679253,1
481,0,-2.04706,0
482,1,1.311415,0
483,1,0.700415,1
484,0,0.795342,1
485,0,-1.848624,1
486,0,-1.291911,0
487,1,0.622248,0
488,0,-1.162705,0
489,1,1.056046,0
490,0,0.085726,0
491,0,0.220267,0
492,0,-0.955661,0
493,1,0.668808,1
494,0,0.755715,0
495,1,0.042851,1
496,1,1.544765,1
497,1,-1.203104,1
498,0,-1.6769,0
499,0,-0.549415,0
500,0,-0.433875,0
501,1,0.70618,1
502,1,1.309921,0
503,0,-0.696534,0
504,0,-1.057577,0
505,1,0.506186,1
506,1,0.504139,0
507,0,0.254324,1
508,0,-0.207984,0
509,1,0.651285,1
510,1,0.902043,1
511,0,-0.429406,0
512,1,-0.118132,0
513,0,0.221504,1
514,1,0.643092,1
515,0,-1.148566,0
516,0,-2.175236,0
517,0,0.525546,0
518,0,-1.395924,0
519,1,1.427221,1
520,1,0.333268,0
521,1,2.203047,1
522,0,-0.780713,0
523,0,0.090025,0
524,1,0.295383,0
525,0,-1.887524,0
526,1,-0.011602,0
527,1,-0.862229,0
528,0,0.632973,0
529,1,0.211605,0
530,0,-1.747275,0
531,1,1.540617,1
532,1,0.088402,1
533,1,1.055483,1
534,1,-0.668609,0
535,1,1.240883,0
536,0,-0.786036,0
537,1,-1.801463,0
538,1,-1.046185,0
539,1,0.652613,1
540,1,0.059615,0
541,1,0.81357,1
542,1,-0.943035,0
543,0,-2.282398,0
544,1,-0.010042,0
545,0,-0.72145,0
546,1,-0.57327,0
547,1,0.246028,0
548,0,0.366281,0
549,1,-0.978568,0
550,0,-0.13157,0
551,1,1.469894,0
552,0,-0.594224,1
553,1,0.006302,0
554,1,-0.563552,0
555,0,-1.481208,0
556,0,-0.148732,0
557,1,-1.044238,0
558,0,-1.393447,0
559,1,0.178728,1
560,1,0.094599,0
561,0,-0.27173,0
562,0,-2.294275,0
563,0,0.776222,0
564,1,1.433027,1
565,0,-1.977669,0
566,0,0.020397,0
567,1,0.599845,0
568,0,1.651262,0
569,0,0.579707,0
570,1,2.471697,1
571,0,-0.62471,1
572,1,0.06767,0
573,0,0.305885,1
574,1,1.26861,1
575,0,0.450013,1
576,0,-0.774193,0
577,0,-1.983595,0
578,0,0.841351,1
579,0,-0.888262,0
580,0,-1.296119,0
581,1,-0.055651,0
582,0,0.195371,0
583,0,-0.883074,0
584,0,-0.018398,0
585,1,0.514907,1
586,0,1.367392,1
587,0,0.498456,0
588,0,0.239062,0
589,0,0.183488,0
590,1,0.636349,0
591,0,3.459399,1
592,0,-0.363211,0
593,0,-0.537516,1
594,0,-2.830903,0
595,0,0.442338,0
596,0,-0.844765,0
597,0,-0.495267,0
598,1,1.079868,0
599,1,0.759627,0
600,0,-1.627671,0
601,0,0.986272,0
602,1,0.495943,1
603,1,-0.202266,0
604,1,0.510526,0
605,0,-0.078593,0
606,1,-0.096084,1
607,0,-0.866494,0
608,1,1.255047,1
609,1,0.360618,0
610,1,-0.758124,0
611,1,-0.293377,0
612,1,-0.217628,1
613,0,0.258791,1
614,1,1.475427,1
615,0,1.535947,1
616,0,-1.365985,0
617,0,0.01828,0
618,0,0.705533,1
619,1,1.394809,1
620,0,1.040881,1
621,0,-0.896982,0
622,0,0.415224,0
623,1,0.21061,0
624,1,0.912208,0
625,0,-1.409221,1
626,0,0.173034,0
627,1,-0.910066,1
628,0,-1.566825,0
629,0,-1.527414,0
630,0,-0.494009,0
631,0,-0.432704,0
632,1,0.094017,0
633,1,-0.236683,0
634,0,-1.113099,0
635,1,0.194196,1
636,1,-0.170068,0
637,1,0.212957,1
638,1,-0.148992,0
639,1,1.352956,0
640,0,-2.031582,0
641,0,-1.669754,0
642,0,-1.140062,0
643,0,-2.383474,0
644,1,0.767275,1
645,1,-1.217527,0
646,1,0.83418,0
647,0,1.050988,1
648,1,0.144119,0
649,1,-0.009525,0
650,0,0.129188,0
651,1,2.381263,1
652,1,0.030745,0
653,1,0.787682,1
654,0,-0.093165,0
655,1,0.485332,1
656,1,0.193656,0
657,0,-1.091744,1
658,0,-1.899596,0
659,0,-1.315964,0
660,1,0.713377,0
661,0,-0.746932,0
662,0,1.759872,1
663,0,-0.335943,1
664,0,1.786993,1
665,0,-0.549539,0
666,1,0.523237,1
667,0,1.64748,1
668,1,0.863849,1
669,0,-0.011801,1
670,1,1.091174,1
671,1,0.050135,0
672,0,0.009437,0
673,0,-1.107823,0
674,0,0.141078,0
675,0,0.260358,1
676,1,0.637128,1
677,1,0.973784,0
678,1,-0.367393,0
679,1,1.23664,1
680,1,0.95802,1
681,0,-2.383564,0
682,0,-0.852961,0
683,0,0.215678,0
684,0,-1.129837,0
685,1,0.008571,0
686,1,-1.352894,0
687,0,-0.388207,0
688,1,0.25876,1
689,1,-1.793682,0
690,1,0.688923,0
691,0,0.916956,1
692,1,0.150474,1
693,1,-0.168314,0
694,1,-0.762326,0
695,1,1.274325,1
696,1,0.1337,1
697,1,-0.944076,1
698,1,0.876306,0
699,0,-2.539547,0
700,1,1.931543,1
701,0,0.398579,1
702,0,0.43968,1
703,0,0.299205,0
704,1,1.334697,1
705,0,-0.121603,0
706,0,-0.411284,0
707,0,-1.097421,0
708,1,0.567863,0
709,1,-1.787615,1
710,1,0.739507,1
711,0,-2.259212,0
712,1,0.410776,1
713,0,0.893845,1
714,0,-0.984721,0
715,0,0.233954,0
716,0,0.187718,0
717,0,-0.714997,0
718,1,0.504504,0
719,0,-0.513211,0
720,0,0.803978,1
721,1,-1.45217,0
722,0,-1.547046,0
723,0,-0.372345,1
724,1,0.256165,0
725,0,-0.05084,0
726,0,-0.603417,1
727,0,0.635612,0
728,0,-1.132444,0
729,0,0.402646,0
730,0,-0.032096,0
731,0,0.929224,0
732,0,1.031753,0
733,0,-1.083761,0
734,1,0.882255,1
735,1,0.646352,0
736,0,0.328716,0
737,0,-0.393458,0
738,1,-0.340449,1
739,0,-1.341793,0
740,1,-0.762339,0
741,0,1.49171,0
742,0,-0.651593,0
743,0,0.480622,0
744,1,0.505423,1
745,0,-0.184703,0
746,1,-1.839487,1
747,1,1.686446,1
748,1,0.905775,1
749,1,1.330066,1
750,1,1.659028,1
751,1,1.86875,1
752,1,-0.37108,0
753,0,-0.813297,0
754,0,-0.697251,0
755,1,1.061563,0
756,1,-0.146182,1
757,1,2.451263,1
758,0,-1.54855,0
759,1,0.782822,0
760,1,-1.091272,0
761,0,-0.208992,0
762,0,0.679297,1
763,1,0.233443,1
764,0,0.289937,0
765,0,-0.253306,0
766,1,-0.382234,0
767,1,1.248238,0
768,0,-0.093684,0
769,0,0.224384,1
770,0,-0.210718,0
771,0,0.81839,0
772,0,1.355695,1
773,1,0.809602,1
774,0,0.944875,1
775,1,0.329361,1
776,0,1.122175,1
777,0,0.247969,1
778,0,2.064207,1
779,1,-0.634667,1
780,0,-0.766946,0
781,0,-1.05063,0
782,0,1.165382,1
783,0,0.718149,1
784,0,0.64529,0
785,1,-0.203294,0
786,1,-0.328467,1
787,1,0.438091,0
788,1,1.071405,1
789,0,-1.978952,0
790,0,-0.552107,0
791,0,-1.252121,0
792,1,0.288386,0
793,0,0.111852,0
794,1,0.206843,1
795,0,-1.26785,0
796,1,-0.602065,0
797,0,0.622603,1
798,0,0.807971,0
799,1,-0.195086,0
800,1,0.011474,1
801,0,-0.73251,0
802,1,1.420705,1
803,0,-1.650005,0
804,0,-0.740326,0
805,1,1.131547,1
806,1,0.083193,0
807,1,1.31186,1
808,0,-0.386786,0
809,0,0.829271,0
810,1,0.848758,1
811,1,1.187702,1
812,0,2.418838,1
813,1,-1.524774,0
814,0,-0.578357,1
815,0,1.253517,0
816,1,1.217022,1
817,1,1.388957,1
818,0,-1.183789,0
819,0,0.627467,1
820,0,-0.988167,0
821,1,-0.776758,0
822,1,0.030865,1
823,1,1.285624,1
824,1,0.948938,1
825,1,0.084768,0
826,1,-0.46912,0
827,0,-2.120297,0
828,0,-0.338295,0
829,1,-1.819325,0
830,1,0.597672,0
831,1,0.417647,1
832,0,-2.712539,0
833,0,-0.092483,0
834,1,-0.232374,0
835,0,-1.446825,0
836,0,0.879783,0
837,1,1.979435,0
838,0,0.455298,0
839,1,-1.617511,0
840,1,-0.003447,0
841,0,-1.154719,0
842,0,0.053096,0
843,1,1.863694,1
844,0,-0.5968,0
845,1,1.287757,1
846,1,0.098855,0
847,1,0.996526,0
848,1,-0.682288,0
849,1,1.404069,1
850,1,0.231183,0
851,0,-1.519562,0
852,1,1.459123,1
853,1,0.723346,1
854,1,-0.014624,0
855,1,0.037257,1
856,1,0.331889,0
857,1,2.082871,0
858,1,-1.048771,0
859,1,0.195726,0
860,1,-0.122844,1
861,0,0.333965,1
862,1,-0.20179,0
863,1,-0.278179,1
864,0,1.773748,0
865,0,1.259914,0
866,1,-0.357454,0
867,0,0.040999,0
868,1,2.11078,1
869,1,1.634146,1
870,0,-0.462495,0
871,1,1.006607,0
872,1,0.275516,0
873,1,0.175576,0
874,1,4.089956,1
875,0,0.630859,1
876,1,-0.898603,0
877,0,2.813969,1
878,1,2.68814,1
879,1,1.333776,1
880,0,-0.028135,1
881,1,1.431924,0
882,1,0.816686,1
883,0,-0.801829,0
884,0,-1.638751,1
885,0,1.67087,1
886,1,-1.573911,0
887,0,0.471702,0
888,1,1.094546,1
889,0,0.22642,0
890,0,-1.220132,0
891,0,-0.194513,0
892,1,0.587292,0
893,1,1.303228,1
894,0,0.719898,1
895,0,-0.321182,1
896,0,-2.108562,0
897,1,0.482747,1
898,0,0.416789,1
899,0,-1.845204,0
900,0,-0.137522,0
901,0,-2.094239,0
902,0,-0.097227,1
903,1,1.597023,0
904,1,-0.987172,0
905,0,-1.251261,1
906,0,0.689234,0
907,0,0.875655,1
908,1,-0.331711,0
909,1,-0.309348,0
910,1,1.435386,1
911,0,0.156359,0
912,1,1.191896,0
913,1,0.74403,0
914,1,1.341983,1
915,1,1.740767,0
916,1,-0.334356,1
917,1,2.312023,1
918,0,-1.142794,0
919,1,1.345805,1
920,1,-0.419482,0
921,0,-0.460377,0
922,0,1.266075,0
923,1,-1.457803,0
924,1,1.090992,0
925,0,0.343626,0
926,1,0.533999,0
927,1,0.468615,1
928,1,0.130353,0
929,1,-0.450016,0
930,1,0.484139,0
931,0,-0.702716,0
932,0,0.052564,0
933,1,-1.557157,1
934,1,-0.254659,0
935,1,1.249203,1
936,1,0.176514,0
937,1,-0.31638,1
938,0,0.30108,0
939,0,-2.282643,0
940,0,1.173484,1
941,0,0.662332,0
942,1,0.295759,0
943,1,-0.810867,0
944,1,-0.534673,1
945,1,-1.086644,0
946,1,-0.415464,1
947,1,-0.057745,0
948,0,-2.577969,0
949,1,-0.773418,0
950,1,-0.426176,1
951,0,-0.730904,0
952,0,-0.462766,0
953,0,0.201651,0
954,1,-1.345734,1
955,0,-2.235057,0
956,1,0.435056,0
957,1,-0.265633,0
958,0,1.008455,0
959,0,-0.94853,0
960,0,-0.65198,1
961,0,-3.0929,0
962,1,0.650291,0
963,0,-0.939767,1
964,1,0.686776,1
965,1,0.824845,0
966,0,-1.201201,0
967,1,0.416546,1
968,1,0.917544,1
969,0,0.542578,0
970,0,1.105575,0
971,1,0.367106,0
972,1,2.068479,1
973,0,-0.287252,1
974,0,0.083794,0
975,1,1.549457,0
976,0,0.000511,0
977,0,1.724843,1
978,1,-2.149641,0
979,1,1.713035,1
980,1,0.995486,1
981,0,0.479592,1
982,0,0.588628,1
983,0,0.248217,0
984,0,-0.724718,0
985,1,0.256157,0
986,1,-0.179221,0
987,0,1.183171,1
988,1,0.864907,1
989,1,0.774969,1
990,0,0.165186,0
991,0,0.500807,0
992,1,-0.958857,0
993,0,0.384843,1
994,0,-0.49098,0
995,1,-0.301307,0
996,1,0.692434,1
997,0,-1.672735,0
998,0,-0.421461,1
999,0,1.306986,0
1000,1,0.180108,1
1001,0,0.000841,0
1002,0,-0.92722,0
1003,0,0.188706,0
1004,1,-0.207991,0
1005,1,0.036094,1
1006,1,-0.742496,0
1007,0,-0.559193,0
1008,0,0.223296,0
1009,1,-0.567452,0
1010,0,-0.049076,0
1011,1,1.024983,1
1012,1,0.986204,0
1013,1,-0.285182,1
1014,0,-1.298156,0
1015,0,-0.270888,0
1016,0,0.256647,0
1017,0,-2.1332,0
1018,0,-0.271701,0
1019,1,0.30465,1
1020,0,1.163798,0
1021,1,-1.350119,0
1022,0,1.221806,1
1023,0,-0.801295,1
1024,1,2.053922,1
1025,1,2.645116,1
1026,0,0.052756,1
1027,0,-0.511291,0
1028,0,-0.142664,0
1029,0,0.694984,1
1030,0,0.026587,0
1031,1,0.338558,0
1032,0,-1.039773,0
1033,0,-0.116297,0
1034,1,0.473263,0
1035,0,-1.059909,0
1036,1,0.844704,0
1037,0,0.564461,0
1038,0,-1.208881,0
1039,1,-0.983063,0
1040,0,-0.403851,0
1041,0,0.135056,0
1042,1,1.936102,1
1043,0,1.003879,0
1044,1,0.057264,0
1045,0,-0.583585,1
1046,0,-0.599047,1
1047,1,0.264112,1
1048,0,-0.209377,0
1049,1,1.575476,1
1050,1,0.122502,1
1051,0,0.846675,0
1052,1,0.131214,1
1053,1,-0.173947,1
1054,0,0.053501,0
1055,0,-0.37418,0
1056,0,-1.003232,0
1057,0,0.264594,1
1058,1,0.355636,1
1059,0,-0.730875,0
1060,1,-0.103449,0
1061,0,-1.989126,0
1062,1,-1.776037,0
1063,1,-1.467908,0
1064,0,-1.225217,0
1065,1,-0.12326,1
1066,1,0.178416,0
1067,1,0.605417,1
1068,1,0.519459,1
1069,0,0.670775,0
1070,0,-1.030573,0
1071,1,-1.460233,0
1072,1,2.207998,1
1073,0,-0.281501,1
1074,1,0.117961,0
1075,0,-0.212857,0
1076,1,1.025532,0
1077,0,0.428783,0
1078,0,-0.182739,0
1079,1,0.661465,1
1080,1,0.451342,0
1081,0,0.127595,0
1082,0,-0.516594,0
1083,0,0.025302,0
1084,0,1.544385,1
1085,1,1.894836,0
1086,1,0.191704,0
1087,0,-0.018579,0
1088,1,0.950882,0
1089,0,0.137492,0
1090,1,-0.431612,0
1091,0,-1.145125,0
1092,1,0.484296,0
1093,1,0.532948,0
1094,1,-0.016849,0
1095,1,1.070455,1
1096,1,-0.193473,0
1097,0,0.763822,0
1098,0,0.098039,1
1099,1,-0.701707,1
1100,1,-0.371853,1
1101,0,0.376603,0
1102,1,-1.342719,0
1103,1,1.95002,1
1104,0,-0.139307,1
1105,1,0.389678,0
1106,0,-1.038061,0
1107,0,1.011358,0
1108,1,2.166164,1
1109,1,0.78658,1
1110,0,-0.364942,1
1111,0,-0.586155,1
1112,1,-1.013743,0
1113,0,0.410529,0
1114,0,-0.791946,0
1115,1,-1.446439,0
1116,1,1.236437,1
1117,1,0.465215,0
1118,0,-1.031299,0
1119,1,1.229197,0
1120,1,-1.140748,0
1121,1,0.254266,0
1122,1,-0.440472,1
1123,0,-1.538869,0
1124,0,0.729604,0
1125,0,1.989205,1
1126,1,-0.266092,1
1127,1,-0.744881,0
1128,1,0.463226,1
1129,0,1.833669,0
1130,1,1.046889,1
1131,1,-0.511221,0
1132,1,-1.160738,0
1133,1,0.162967,0
1134,1,-1.595548,0
1135,0,-0.117013,0
1136,0,0.561166,1
1137,0,0.172304,0
1138,0,-0.790549,0
1139,1,-0.02819,1
1140,0,-1.452124,0
1141,0,-1.37042,0
1142,1,0.384469,1
1143,0,-1.076944,0
1144,0,1.024691,1
1145,0,-0.672141,0
1146,0,0.343836,0
1147,1,0.647373,1
1148,0,-1.619119,0
1149,1,0.226285,1
1150,1,-0.269014,0
1151,1,0.948758,1
1152,1,-0.305836,1
1153,1,0.743823,1
1154,1,2.347814,1
1155,1,-0.568842,0
1156,0,-1.665838,0
1157,1,-0.501243,0
1158,0,1.19553,1
1159,1,0.560139,1
1160,1,0.948013,0
1161,0,-1.422689,0
1162,1,1.354047,1
1163,1,-0.84191,0
1164,1,0.61389,1
1165,0,-0.119555,1
1166,1,1.275521,1
1167,1,1.483716,1
1168,1,0.531131,0
1169,0,-0.239502,1
1170,1,0.968104,1
1171,1,-0.044037,0
1172,1,-0.443853,1
1173,0,-1.601452,0
1174,1,1.530925,1
1175,1,-0.043248,0
1176,0,0.897376,1
1177,1,-1.456031,0
1178,0,0.116025,1
1179,0,0.475592,0
1180,0,-0.324466,0
1181,0,0.47526,1
1182,1,3.085816,1
1183,0,0.540662,0
1184,1,0.521279,0
1185,1,-0.217408,1
1186,0,-0.89122,0
1187,0,0.891862,0
1188,0,-0.8281,0
1189,1,1.507482,1
1190,0,-0.3509,1
1191,0,-1.602421,0
1192,1,0.02647,0
1193,0,-2.544883,0
1194,1,0.036267,1
1195,0,-0.60737,0
1196,1,0.060027,1
1197,1,-0.028556,0
1198,0,-2.315164,0
1199,1,1.535876,1
1200,0,-0.507349,0
